smiles,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,tfp_valid
C[C@H](O)COc1ccc2ccc(=O)oc2c1,-7.1,-5.8,-8.5,7.8,B,1.197504639625549,3.0,1.4116740226745603,0.6796023845672607,2.26407790184021,0.2638945281505584,2.9436802864074707,0.3226790428161621,0.9198845624923706,1.2644505500793457,1.3380622863769531,True
C[C@@H](O)COc1ccc2ccc(=O)oc2c1,-7.4,-5.9,-8.7,8.05,A,1.1478327512741089,3.0,1.4120360612869265,0.672565221786499,2.3363356590271,0.3678294420242309,3.0089006423950195,0.2852331399917602,0.9331470727920532,1.2643475532531738,1.3381917476654053,True
COc1cc2ccc(=O)oc2c(OC[C@@H](C)OC)c1O,-7.0,-5.5,-7.1,7.05,B,1.5075030326843262,2.0,1.3808008432388306,0.6531473398208618,2.3105807304382324,0.329237163066864,2.963728189468384,0.3074332177639007,1.2930563688278198,1.3223044872283936,1.3515527248382568,True
Cc1cc(Nc2ccc(F)cc2)n2nc(C(F)(F)F)nc2n1,-5.9,-7.1,-9.1,8.1,A,1.3806483745574951,4.0,1.3652516603469849,0.7013272643089294,2.225150346755981,0.2432923316955566,2.926477670669556,0.3464026153087616,0.8587777018547058,1.1388003826141355,1.3196933269500732,True
Cc1cc(Nc2ccc(OC(C)(C)C)cc2)n2nc(C(F)(F)F)nc2n1,3.4,-7.1,-9.8,8.45,A,1.5768269300460815,3.0,1.3765602111816406,0.5636075735092163,2.6484265327453613,0.8482469320297241,3.212034225463867,0.7022833824157715,1.1480865478515625,1.311173915863037,1.3438670635223389,True
Cc1cc(Nc2ccc(C(C)C)cc2)n2nc(C(F)(F)F)nc2n1,1.1,-7.0,-10.2,8.6,A,1.5994322299957275,3.0,1.4094181060791016,0.6737268567085266,2.29988694190979,0.2738212943077087,2.973613739013672,0.2646527290344238,1.1381969451904297,1.3025758266448977,1.3559969663619995,True
CC(=O)Nc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,1.7,-7.5,-10.0,8.75,A,1.5950103998184204,5.0,1.3971400260925293,0.5993307828903198,2.254891395568848,0.221027672290802,2.854222059249878,0.3727298676967621,0.5405163764953613,0.9727206230163574,1.304877996444702,True
Cc1cc(Nc2ccc(F)c(C)c2)n2nc(C(F)(F)F)nc2n1,-4.1,-7.3,-9.1,8.2,A,1.264690637588501,3.0,1.3667068481445312,0.5487236380577087,2.689382791519165,0.9226143956184388,3.2381064891815186,0.7253903746604919,1.1481999158859253,1.3111848831176758,1.3389458656311035,True
Cc1cc(Nc2ccc(C)c(F)c2)n2nc(C(F)(F)F)nc2n1,-3.4,-7.4,-9.2,8.3,A,1.4251182079315186,4.0,1.3996773958206177,0.6130857467651367,2.3110148906707764,0.3103999197483063,2.924100637435913,0.3255316913127899,0.8589792847633362,1.1389281749725342,1.3283437490463257,True
Cc1cc(Nc2ccc(OC(C)C)cc2)n2nc(C(F)(F)F)nc2n1,2.2,-7.0,-9.7,8.35,A,1.6314464807510376,5.0,1.401462197303772,0.6102935075759888,2.252551794052124,0.2309997230768203,2.8628454208374023,0.3300990760326385,0.567786693572998,0.973499059677124,1.3043458461761477,True
COC(=O)Nc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1,1.3,-7.4,-9.8,8.600000000000001,A,1.3276927471160889,3.0,1.403842806816101,0.8365170955657959,2.163313388824463,0.222265675663948,2.999830484390259,0.3523906171321869,1.1483979225158691,1.3113343715667725,1.357588529586792,True
Cc1cccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.9,-7.2,-9.1,8.15,A,1.2471638917922974,3.0,1.3783504962921145,0.6433610916137695,2.662588834762573,0.976936936378479,3.3059499263763428,0.771662175655365,1.1480876207351685,1.3108837604522705,1.3446171283721924,True
COc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1OC,-3.0,-7.0,-8.6,7.8,B,1.7354345321655271,5.0,1.3884217739105225,0.6532357931137085,2.2636613845825195,0.222389206290245,2.9168972969055176,0.304097980260849,0.521092414855957,0.9730074405670166,1.3040447235107422,True
Cc1cc(Nc2ccc(NC(=O)C(C)C)cc2)n2nc(C(F)(F)F)nc2n1,7.7,-7.7,-10.7,9.2,A,1.8459210395812988,5.0,1.3981029987335205,0.60929274559021,2.2601311206817627,0.2111031413078308,2.8694238662719727,0.3131267428398132,0.5309538841247559,0.9728002548217772,1.3040034770965576,True
Cc1cc(Nc2cccc(Cl)c2)n2nc(C(F)(F)F)nc2n1,-5.4,-7.0,-8.7,7.85,B,1.474878430366516,4.0,1.382628321647644,0.6221461892127991,2.3849098682403564,0.4506551027297973,3.00705623626709,0.3752719163894653,0.8568480610847473,1.1388380527496338,1.3239771127700806,True
COc1cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)ccc1F,-5.4,-7.1,-8.8,7.95,B,1.568765640258789,4.0,1.3704437017440796,0.7160025238990784,2.393998861312866,0.4543465077877044,3.1100013256073,0.4905448257923126,0.9546132683753968,1.1491026878356934,1.3269201517105105,True
CCc1ccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)cc1F,-1.7,-7.1,-9.5,8.3,A,1.4456398487091064,4.0,1.4011194705963137,0.6176939010620117,2.3014094829559326,0.2947089970111847,2.9191033840179443,0.3267627358436584,0.8584883809089661,1.138839840888977,1.3285975456237793,True
CCc1cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)ccc1F,-4.5,-7.3,-9.2,8.25,A,1.4474493265151978,4.0,1.3666828870773315,0.612276017665863,2.302150249481201,0.292619913816452,2.91442608833313,0.322447270154953,0.8577468395233154,1.1387864351272583,1.3199819326400757,True
Cc1cc(Nc2cccc(C(C)C)c2)n2nc(C(F)(F)F)nc2n1,-3.4,-7.1,-9.5,8.3,A,1.6542441844940186,4.0,1.370097279548645,0.6012265682220459,2.289663314819336,0.2383532226085662,2.890889883041382,0.313171774148941,0.8563528060913086,1.1388206481933594,1.3208874464035034,True
CCc1cccc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.1,-7.0,-9.3,8.15,A,1.286946177482605,3.0,1.3781803846359253,0.6592053174972534,2.6472082138061523,0.9444616436958312,3.306413650512696,0.7725988626480103,1.1481382846832275,1.3109359741210938,1.3445582389831543,True
Cc1cc(Nc2cc(F)cc(N(C)C)c2)n2nc(C(F)(F)F)nc2n1,-3.8,-7.3,-8.7,8.0,A,1.7258038520812988,5.0,1.3773605823516846,0.7772367000579834,2.307817220687866,0.4038963615894317,3.0850539207458496,0.4426926970481872,0.6632692813873291,0.984776735305786,1.3125948905944824,True
COc1cc(F)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.0,-7.2,-8.9,8.05,A,1.334674835205078,3.0,1.392182469367981,0.6928236484527588,2.275449514389038,0.3468678891658783,2.968273162841797,0.3253245949745178,1.147549390792847,1.3107845783233645,1.3514835834503174,True
Cc1cc(Nc2cccc(OCC(C)C)c2)n2nc(C(F)(F)F)nc2n1,-1.5,-7.0,-9.3,8.15,A,1.5790268182754517,4.0,1.3747036457061768,0.7161648869514465,2.372373342514038,0.4208980500698089,3.088538408279419,0.4649084508419037,0.9578149318695068,1.149744987487793,1.3285772800445557,True
Cc1cc(Nc2ccc(C(F)(F)F)c(F)c2)n2ncnc2n1,-2.3,-7.0,-10.2,8.6,A,1.5290876626968384,4.0,1.3994511365890503,0.6452111601829529,2.2824862003326416,0.2695874571800232,2.92769718170166,0.3283043503761291,0.8403909802436829,1.12203848361969,1.330849051475525,True
CCn1c(SCC(=O)Nc2ccccc2C)nc2ccccc2c1=O,-2.8,-7.0,-10.0,8.5,A,1.844399094581604,4.0,1.4039599895477295,0.605563223361969,2.466969013214112,0.4481936693191528,3.0725321769714355,0.5323249101638794,1.2261345386505127,1.357486128807068,1.3896355628967283,True
Cn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nc2ccccc2c1=O,-2.7,-7.1,-10.2,8.649999999999999,A,1.9933984279632568,5.0,1.3847895860671997,0.5712549686431885,2.6344518661499023,0.5786070823669434,3.205706834793091,0.4527463912963867,0.7312633991241455,1.3329553604125977,1.3845939636230469,True
CCn1c(SCC(=O)Nc2cc(C)ccc2F)nc2ccccc2c1=O,-3.3,-7.0,-10.2,8.6,A,1.9481171,5.0,1.3875941,0.63413984,2.4427583,0.42350006,3.076898,0.44909444,0.81676817,1.3296192,1.3850937,True
Cn1c(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc2ccccc2c1=O,-1.0,-7.4,-10.8,9.1,A,2.0650027,5.0,1.3848289,0.47785735,2.766738,0.70742816,3.2445953,0.6039681,0.52300215,1.3331387,1.3831635,True
CCCn1c(SCC(=O)Nc2cc(F)cc(F)c2)nc2ccccc2c1=O,-3.0,-7.1,-10.3,8.7,A,1.7126375,4.0,1.3897172,0.53257763,2.6247778,0.6915979,3.1573553,0.49690154,1.1297939,1.35745,1.3857547,True
COc1cccc2c(=O)c(C)c(C)[nH]c12,-7.1,-5.0,-7.8,7.449999999999999,B,1.596449,3.0,1.3878928,0.6254733,2.3635986,0.3230566,2.989072,0.2230732,1.0294489,1.3212318,1.3545623,True
