method,mean_AUC,std_AUC,N,prevalence_pct
RBF-SVM,0.7370444192631057,0.010207782316828461,19900,10.306532663316583
Quantum Kernel (PCA-8D + poly),0.7474731758683011,0.013106593731347078,19900,10.306532663316583
Random Forest (TNE),0.8178490682577222,0.005997687813514405,19900,10.306532663316583
