tda_feature,spearman_rho,p_value,N
H0_max_pers,-0.16698532526034168,2.167425555484487e-124,19900
H1_entropy,-0.16115049880318702,7.127213200104383e-116,19900
H0_count,-0.1586407798583893,2.621281112295997e-112,19900
H0_entropy,-0.153022039905597,1.5447456414745595e-104,19900
H2_entropy,-0.09789046244142827,1.4311895502892047e-43,19900
H1_count,-0.08522666926751553,2.0893736700781914e-33,19900
H2_mean_pers,0.07498967911935969,3.21653241267133e-26,19900
H1_mean_pers,0.04258533760529204,1.8580971879102406e-09,19900
H2_max_pers,0.029750391069400108,2.6990801366281863e-05,19900
H2_count,-0.02912308523252505,3.97496276244593e-05,19900
H1_max_pers,0.02285149579706072,0.0012649349432369882,19900
H0_mean_pers,0.010044242685213749,0.15652341622283053,19900
