descriptor,classifier,fold,auc,accuracy,f1
Hybrid-TFP,rf,1,0.8949773798617902,0.8400503778337531,0.8926821024167653
Hybrid-TFP,rf,2,0.8892867407242037,0.8395465994962217,0.8931028696089948
Hybrid-TFP,rf,3,0.9051345722601958,0.8478589420654912,0.898861352980576
Hybrid-TFP,rf,4,0.891630166755409,0.8347607052896725,0.8896366083445492
Hybrid-TFP,rf,5,0.894094874472017,0.8410178886369363,0.8946049774511442
Hybrid-TNE,rf,1,0.9082108984672705,0.8526448362720404,0.9008306492625868
Hybrid-TNE,rf,2,0.9026989237792439,0.8526448362720404,0.9016641452344932
Hybrid-TNE,rf,3,0.9184265096071232,0.8602015113350125,0.906801007556675
Hybrid-TNE,rf,4,0.9036583678915038,0.844080604534005,0.8955626792643834
Hybrid-TNE,rf,5,0.9105023174100486,0.8493323255228017,0.8997317236753857
Hybrid-QK,rf,1,0.7444806477853305,0.7722921914357682,0.8619425778863775
Hybrid-QK,rf,2,0.7395389879829715,0.7680100755667506,0.8600516638808692
Hybrid-QK,rf,3,0.753953047104704,0.7798488664987405,0.866442542787286
Hybrid-QK,rf,4,0.7505111913269342,0.7753148614609572,0.8639829216224458
Hybrid-QK,rf,5,0.7464835919149424,0.7739984882842026,0.8631996339789538
