GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,2005.64,4670.7,5787.24,567.17,297.87,-214.65,-4156.63,-34321.8,2119.73,26374.44,-5521.83,235.72,3129.72,-5286.12,-2156.39
11,2020.18,4600.35,5782.4,564.96,294.19,-210.24,-4177.09,-34469.49,2118.85,26339.7,-5359.96,236.33,2863.81,-5123.63,-2259.82
21,1981.61,4600.6,5727.77,547.42,296.26,-205.45,-4103.76,-34462.79,2108.78,26263.14,-5351.53,234.75,2753.58,-5116.79,-2363.2
31,2008.8,4657.68,5781.04,564.05,300.02,-228.12,-4200.98,-34256.63,2116.68,26238.75,-5417.52,233.96,2981.28,-5183.56,-2202.28
41,1995.68,4586.75,5767.2,554.72,293.75,-226.37,-4117.91,-34276.55,2154.12,26255.38,-5531.03,234.92,2986.75,-5296.11,-2309.36
51,2008.46,4665.6,5726.53,563.06,308.23,-235.36,-4188.32,-34257.12,2115.73,26338.63,-5530.34,231.16,3045.42,-5299.18,-2253.76
61,1989.97,4723.47,5727.23,567.01,290.31,-222.94,-4181.91,-34205.06,2109.76,26176.84,-5431.19,230.64,2974.68,-5200.55,-2225.87
71,2055.61,4703.97,5760.13,568.0,287.86,-223.49,-4164.9,-34530.38,2167.1,26273.78,-5299.82,234.92,2897.68,-5064.91,-2167.23
81,1969.4,4625.29,5755.18,558.91,318.25,-211.52,-4184.56,-34487.71,2108.97,26312.84,-5342.43,229.82,2765.05,-5112.61,-2347.56
91,2022.78,4553.11,5713.06,570.27,296.12,-227.08,-4193.52,-34394.19,2122.39,26240.0,-5359.37,230.24,2702.94,-5129.12,-2426.18
101,2064.44,4585.22,5727.6,559.46,326.22,-207.07,-4176.74,-34347.99,2109.92,26341.98,-5456.07,234.34,2983.05,-5221.72,-2238.68
111,2035.96,4652.4,5749.24,570.16,307.14,-227.62,-4141.6,-34289.79,2130.83,26251.54,-5495.81,232.15,3038.26,-5263.66,-2225.4
121,2022.25,4613.32,5794.99,568.91,296.32,-241.49,-4191.43,-34266.94,2138.74,26262.87,-5498.02,229.95,2997.54,-5268.07,-2270.53
131,1998.85,4619.85,5833.4,571.09,332.44,-233.56,-4158.22,-34165.3,2143.2,26276.53,-5570.19,236.16,3218.28,-5334.03,-2115.75
141,2006.35,4616.13,5717.68,559.01,318.46,-224.37,-4139.92,-34366.45,2134.33,26331.81,-5484.1,235.23,2953.03,-5248.87,-2295.84
151,2100.93,4618.01,5740.82,550.51,306.38,-249.46,-4140.59,-34080.77,2114.63,26159.4,-5644.81,235.63,3119.85,-5409.18,-2289.33
161,2057.9,4732.32,5767.13,558.29,302.49,-242.57,-4134.93,-34351.09,2129.68,26211.19,-5479.43,233.04,3030.41,-5246.38,-2215.97
171,2000.58,4564.82,5775.83,552.9,299.76,-226.14,-4162.24,-34279.94,2140.52,26186.2,-5413.27,232.75,2852.3,-5180.53,-2328.23
181,2094.98,4675.95,5746.91,552.22,311.39,-248.48,-4202.08,-34113.71,2097.12,26201.99,-5574.37,234.36,3116.28,-5340.02,-2223.74
