Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_258,-8.789,-6.042,-8.789,GOOD
ligand_259,-7.687,-4.917,-7.687,GOOD
ligand_25,-9.263,-5.568,-9.263,EXCELLENT
ligand_260,-8.152,-4.715,-8.152,GOOD
ligand_261,-8.367,-5.341,-8.367,GOOD
ligand_262,-6.144,-4.815,-6.144,OTHERS
ligand_263,-7.304,-4.278,-7.304,GOOD
ligand_264,-8.409,-4.634,-8.409,GOOD
ligand_265,-9.95,-5.443,-9.95,EXCELLENT
ligand_266,-7.012,-4.126,-7.012,GOOD
ligand_267,-9.379,-5.807,-9.379,EXCELLENT
ligand_268,-7.507,-4.047,-7.507,GOOD
ligand_269,-9.982,-6.027,-9.982,EXCELLENT
ligand_26,-7.348,-0.8253,-7.348,GOOD
ligand_270,-9.831,-5.522,-9.831,EXCELLENT
ligand_271,-8.869,-6.469,-8.869,GOOD
ligand_272,-8.38,-6.236,-8.38,GOOD
ligand_273,-9.51,-6.111,-9.51,EXCELLENT
ligand_274,-8.81,-5.621,-8.81,GOOD
ligand_275,-9.901,-6.249,-9.901,EXCELLENT
ligand_276,-9.507,-5.884,-9.507,EXCELLENT
ligand_277,-11.42,-7.683,-11.42,EXCELLENT
ligand_278,-10.08,-6.179,-10.08,EXCELLENT
ligand_279,-9.631,-6.429,-9.631,EXCELLENT
ligand_27,-6.965,-4.489,-6.965,OTHERS
ligand_280,-7.938,-5.133,-7.938,GOOD
ligand_281,-9.463,-6.28,-9.463,EXCELLENT
ligand_282,-8.832,-5.382,-8.832,GOOD
ligand_283,-8.467,-5.544,-8.467,GOOD
ligand_284,-8.258,-5.385,-8.258,GOOD
ligand_285,-9.238,-5.672,-9.238,EXCELLENT
ligand_286,-8.359,-5.245,-8.359,GOOD
ligand_287,-9.789,-6.57,-9.789,EXCELLENT
ligand_288,-9.013,-4.652,-9.013,EXCELLENT
ligand_289,-8.548,-6.231,-8.548,GOOD
ligand_28,-6.602,-4.357,-6.602,OTHERS
ligand_290,-9.214,-5.164,-9.214,EXCELLENT
ligand_291,-6.748,-4.557,-6.748,OTHERS
ligand_292,-10.57,-6.855,-10.57,EXCELLENT
ligand_293,-9.325,-6.148,-9.325,EXCELLENT
ligand_294,-9.428,-5.371,-9.428,EXCELLENT
ligand_295,-11.03,-7.235,-11.03,EXCELLENT
ligand_296,-6.339,-4.22,-6.339,OTHERS
ligand_297,-8.471,-4.664,-8.471,GOOD
ligand_298,-9.947,-6.17,-9.947,EXCELLENT
ligand_299,-8.03,-4.955,-8.03,GOOD
ligand_29,-8.675,-4.988,-8.675,GOOD
ligand_2,-9.271,-6.487,-9.271,EXCELLENT
ligand_300,-8.602,-5.132,-8.602,GOOD
ligand_301,-7.865,-4.68,-7.865,GOOD
ligand_302,-8.991,-5.315,-8.991,GOOD
ligand_303,-6.928,-5.162,-6.928,OTHERS
ligand_304,-8.421,-5.097,-8.421,GOOD
ligand_305,-6.733,-3.797,-6.733,OTHERS
ligand_306,-6.506,-3.901,-6.506,OTHERS
ligand_307,-8.17,-5.124,-8.17,GOOD
ligand_308,-9.149,-5.269,-9.149,EXCELLENT
ligand_309,-8.818,-6.312,-8.818,GOOD
ligand_30,-8.358,-1.695,-8.358,GOOD
ligand_310,-9.443,-6.694,-9.443,EXCELLENT
ligand_311,-9.137,-5.098,-9.137,EXCELLENT
ligand_312,-9.157,-6.067,-9.157,EXCELLENT
ligand_313,-9.788,-6.506,-9.788,EXCELLENT
ligand_314,-9.533,-6.023,-9.533,EXCELLENT
ligand_315,-9.958,-6.315,-9.958,EXCELLENT
ligand_316,-9.957,-6.77,-9.957,EXCELLENT
ligand_317,-8.625,-5.284,-8.625,GOOD
ligand_318,-4.151,1.874,-4.151,OTHERS
ligand_319,-8.968,-5.615,-8.968,GOOD
ligand_31,-7.276,-2.903,-7.276,GOOD
ligand_320,-6.985,-3.989,-6.985,OTHERS
ligand_321,-8.066,-4.907,-8.066,GOOD
ligand_322,-9.205,-5.496,-9.205,EXCELLENT
ligand_323,-7.707,-4.657,-7.707,GOOD
ligand_325,-7.397,-4.643,-7.397,GOOD
ligand_326,-9.427,-5.028,-9.427,EXCELLENT
ligand_327,-6.702,-4.121,-6.702,OTHERS
ligand_328,-6.668,-4.273,-6.668,OTHERS
ligand_329,-8.781,-5.765,-8.781,GOOD
ligand_32,-8.562,-5.256,-8.562,GOOD
ligand_330,-9.008,-4.935,-9.008,EXCELLENT
ligand_331,-8.123,-4.382,-8.123,GOOD
ligand_332,-8.472,-4.207,-8.472,GOOD
ligand_333,-8.855,-5.837,-8.855,GOOD
ligand_334,-9.981,-6.413,-9.981,EXCELLENT
ligand_335,-8.624,-5.188,-8.624,GOOD
ligand_336,-8.579,-5.698,-8.579,GOOD
ligand_337,-8.639,-5.742,-8.639,GOOD
ligand_338,-9.751,-6.308,-9.751,EXCELLENT
ligand_339,-9.21,-6.433,-9.21,EXCELLENT
ligand_33,-7.586,-4.691,-7.586,GOOD
ligand_340,-7.89,-4.804,-7.89,GOOD
ligand_341,-6.188,-4.206,-6.188,OTHERS
ligand_342,-9.475,-5.679,-9.475,EXCELLENT
ligand_343,-7.802,-4.73,-7.802,GOOD
ligand_344,-9.235,-6.477,-9.235,EXCELLENT
ligand_345,-6.875,0.1445,-6.875,OTHERS
ligand_346,-11.08,-7.265,-11.08,EXCELLENT
ligand_347,-7.328,-4.57,-7.328,GOOD
ligand_348,-8.676,-6.077,-8.676,GOOD
ligand_349,-8.216,-5.891,-8.216,GOOD
ligand_34,-8.953,-5.291,-8.953,GOOD
ligand_350,-8.889,-4.923,-8.889,GOOD
ligand_351,-8.588,-5.286,-8.588,GOOD
ligand_352,-9.968,-6.015,-9.968,EXCELLENT
ligand_353,-8.245,-4.904,-8.245,GOOD
