centroid_id,vina_score,exhaustiveness,tag
294,-7.544,64,original
295,-8.042,64,original
296,-7.158,64,original
297,-6.906,64,original
298,-6.083,64,original
299,-6.191,64,original
300,-6.011,64,original
301,-5.847,64,original
302,-7.452,64,original
303,-6.779,64,original
304,-6.492,64,original
305,-7.137,64,original
306,-6.324,64,original
307,-6.572,64,original
308,-8.01,64,original
309,-8.332,64,original
310,-7.974,64,original
311,-7.346,64,original
312,-8.327,64,original
313,-9.063,64,original
314,-8.648,64,original
315,-8.647,64,original
316,-5.758,64,original
317,-3.987,64,original
318,-6.324,64,original
319,-5.851,64,original
320,,64,original
321,-8.062,64,original
322,-7.743,64,original
323,-7.301,64,original
324,-7.517,64,original
325,-6.697,64,original
326,-8.927,64,original
327,-7.006,64,original
328,-7.445,64,original
329,-6.518,64,original
330,-7.761,64,original
331,-6.205,64,original
332,,64,original
333,-7.926,64,original
334,-6.131,64,original
335,-6.145,64,original
336,-6.413,64,original
337,-6.504,64,original
338,-6.003,64,original
339,-7.594,64,original
340,,64,original
341,,64,original
342,,64,original
343,,64,original
344,-5.641,64,original
345,-8.348,64,original
346,,64,original
347,-9.135,64,original
348,-6.708,64,original
349,-6.43,64,original
350,-7.151,64,original
351,-6.199,64,original
352,-8.332,64,original
353,-7.592,64,original
354,-7.995,64,original
355,-8.798,64,original
356,-8.58,64,original
357,-8.855,64,original
358,-5.901,64,original
359,-6.114,64,original
360,-8.759,64,original
361,-6.047,64,original
362,-7.225,64,original
363,-5.554,64,original
364,-6.79,64,original
365,-7.07,64,original
366,-8.111,64,original
367,-6.537,64,original
368,-6.984,64,original
369,-8.864,64,original
370,-8.245,64,original
371,-6.662,64,original
372,-7.694,64,original
373,-6.132,64,original
374,,64,original
375,,64,original
376,,64,original
377,-6.855,64,original
378,,64,original
379,,64,original
380,,64,original
381,-6.271,64,original
382,-5.805,64,original
383,,64,original
384,-5.917,64,original
385,-5.51,64,original
386,-4.882,64,original
387,-5.155,64,original
388,-8.5,64,original
389,-8.862,64,original
390,-7.907,64,original
391,-7.405,64,original
392,,64,original
393,-7.117,64,original
394,-6.531,64,original
395,-7.465,64,original
396,-6.347,64,original
397,-7.737,64,original
398,-8.637,64,original
399,-6.859,64,original
400,-6.817,64,original
401,-6.321,64,original
402,-7.156,64,original
403,-7.285,64,original
404,-6.051,64,original
405,,64,original
406,-6.727,64,original
407,-8.097,64,original
408,-7.196,64,original
409,-6.265,64,original
410,-7.396,64,original
411,-6.969,64,original
412,-7.281,64,original
