ece,mce,brier,n,partition,model,source
0.0343837813659116,0.07155090097235889,0.10524373353729642,99180,canonical_random,GIN-TFP_native,training
0.043163382508157454,0.08434824162648769,0.10993400005996587,99180,canonical_random,GIN-TFP_permuted,training
0.03671546390663816,0.09361166630527815,0.11285901584158306,99180,canonical_random,GIN-TNE_native,training
0.04022825976038184,0.10317593694789082,0.11514452265709356,99180,canonical_random,GIN-TNE_permuted,training
0.02902874171871806,0.06992843715845465,0.1025548188595064,99180,canonical_random,GIN_native,training
0.0740602507493236,0.1753890962234646,0.14768847167877522,99180,canonical_scaffold,GIN-TFP_native,training
0.07863200280812499,0.1954380752311385,0.1554618962241052,99180,canonical_scaffold,GIN-TFP_permuted,training
0.0806671275140971,0.19464935054189753,0.15107773180660258,99180,canonical_scaffold,GIN-TNE_native,training
0.08228189000372166,0.19993146608025877,0.15550110665169647,99180,canonical_scaffold,GIN-TNE_permuted,training
0.06540741253599609,0.16229014715197065,0.14859192052211015,99180,canonical_scaffold,GIN_native,training
0.08951220204386215,0.18895089170289747,0.15403600219801708,99180,novel_101,GIN-TFP_native,training
0.08375063729113075,0.1429038723891916,0.15355641168719353,99180,novel_101,GIN-TFP_permuted,training
0.08069914470279049,0.18126118334624883,0.1530511065708502,99180,novel_101,GIN-TNE_native,training
0.08328330391832553,0.20084143208878918,0.1583741056995871,99180,novel_101,GIN-TNE_permuted,training
0.07880234128671597,0.18141383424037055,0.15478438230780742,99180,novel_101,GIN_native,training
0.07406673008535944,0.17372886713988303,0.1492205190235255,99180,novel_202,GIN-TFP_native,training
0.08207713971397496,0.19749664517888668,0.15658984541956272,99180,novel_202,GIN-TFP_permuted,training
0.07975195527691598,0.20782913080157983,0.1531188651507237,99180,novel_202,GIN-TNE_native,training
0.07329495524322535,0.18870490113675858,0.15223087471132737,99180,novel_202,GIN-TNE_permuted,training
0.07774110198074165,0.1814974426088407,0.15359016630844244,99180,novel_202,GIN_native,training
0.08613834304016779,0.18419176702352064,0.1556368013668789,99180,novel_303,GIN-TFP_native,training
0.08491047524438339,0.14312234716116568,0.1576441273345237,99180,novel_303,GIN-TFP_permuted,training
0.08197685048647108,0.20453005689560025,0.15538674895398588,99180,novel_303,GIN-TNE_native,training
0.086972654407462,0.21455811410033693,0.15799073095007726,99180,novel_303,GIN-TNE_permuted,training
0.0887665345624045,0.18542495344468551,0.15919061857497135,99180,novel_303,GIN_native,training
0.05776270184229661,0.14400454269975121,0.10466240974196948,99180,canonical_random,ChemBERTa,chemberta
0.12248807999673125,0.2545995948512003,0.16908588872569455,99180,canonical_scaffold,ChemBERTa,chemberta
0.11717103120576176,0.24011740299943182,0.16698554327273873,99180,novel_101,ChemBERTa,chemberta
0.13196456701520298,0.26623600478729514,0.17278982958168532,99180,novel_202,ChemBERTa,chemberta
0.12780418949402939,0.2714644639801495,0.1750753838460132,99180,novel_303,ChemBERTa,chemberta
