centroid_id,vina_score,exhaustiveness,tag
287,-6.32,64,original
288,-7.049,64,original
289,-7.471,64,original
290,-6.73,64,original
291,-8.053,64,original
292,-6.258,64,original
293,-6.731,64,original
294,-6.443,64,original
295,-6.584,64,original
296,-7.455,64,original
297,-7.335,64,original
298,-7.873,64,original
299,-5.968,64,original
300,-5.977,64,original
301,-5.675,64,original
302,-7.157,64,original
303,-5.533,64,original
304,-6.468,64,original
305,-7.555,64,original
306,-6.067,64,original
307,-5.705,64,original
308,-6.293,64,original
309,-6.878,64,original
310,-7.046,64,original
311,-7.053,64,original
312,-7.197,64,original
313,-7.595,64,original
314,-7.894,64,original
315,-6.81,64,original
316,-6.167,64,original
317,-7.095,64,original
318,-5.726,64,original
319,-5.062,64,original
320,-6.007,32,rerun
321,-6.328,64,original
322,-6.714,64,original
323,-6.244,64,original
324,-6.46,64,original
325,-7.532,64,original
326,-6.52,64,original
327,-6.377,64,original
328,-6.83,64,original
329,-5.66,64,original
330,-6.216,64,original
331,-5.67,64,original
332,-7.712,64,original
333,-7.398,64,original
334,-5.512,64,original
335,-7.343,64,original
336,-6.477,64,original
337,-7.799,64,original
338,-7.95,64,original
339,-7.479,64,original
340,-9.402,32,rerun
341,-8.206,32,rerun
342,-7.603,64,original
343,-7.389,64,original
344,-8.042,64,original
345,-6.392,64,original
346,-6.709,32,rerun
347,-8.01,64,original
348,-7.089,64,original
349,-6.086,64,original
350,-6.139,64,original
351,-7.264,64,original
352,-6.444,64,original
353,-7.631,64,original
354,-7.389,64,original
355,-7.417,64,original
356,-8.047,64,original
357,-7.861,64,original
358,-5.345,64,original
359,-4.993,64,original
360,-6.575,64,original
361,-7.543,64,original
362,-6.138,64,original
363,-5.376,64,original
364,-6.653,64,original
365,-6.436,64,original
366,-6.986,64,original
367,-6.196,64,original
368,-8.338,64,original
369,-6.747,64,original
370,-6.741,64,original
371,-5.899,64,original
372,-6.944,64,original
373,-7.187,64,original
374,-6.602,32,rerun
375,-6.787,32,rerun
376,-7.406,32,rerun
377,-6.043,64,original
378,-6.278,32,rerun
379,-7.316,64,original
380,-7.173,64,original
381,-7.754,64,original
382,-7.979,64,original
383,-7.992,64,original
384,-7.926,64,original
385,-7.901,64,original
386,-7.562,64,original
387,-5.13,64,original
388,-7.332,64,original
389,-6.791,64,original
390,-6.386,64,original
391,-6.813,64,original
392,-7.773,64,original
393,-6.479,64,original
394,-6.031,64,original
395,-7.314,64,original
396,-6.979,64,original
397,-6.691,64,original
398,-7.56,64,original
399,-6.438,64,original
400,-5.444,64,original
401,-5.864,64,original
402,-6.931,64,original
403,-8.501,64,original
404,-5.499,64,original
405,-6.573,64,original
406,-6.462,64,original
407,-7.707,64,original
408,-6.672,64,original
409,-5.653,64,original
410,-6.342,64,original
411,-6.502,64,original
412,-5.674,64,original
413,-7.274,64,original
414,-6.914,64,original
415,-5.399,64,original
416,,32,rerun
417,-6.156,64,original
418,-7.666,64,original
419,-6.536,64,original
420,-6.182,64,original
421,-6.436,64,original
422,-6.214,64,original
423,-6.641,64,original
424,-6.788,64,original
425,-7.017,64,original
426,-5.114,64,original
427,-5.986,64,original
428,-7.605,64,original
429,-7.628,64,original
430,-7.609,64,original
431,-7.883,64,original
432,-7.471,64,original
433,-6.716,64,original
434,-8.133,32,rerun
435,-6.356,64,original
436,-6.923,64,original
437,-5.163,64,original
438,-8.22,64,original
439,-5.883,64,original
440,-6.245,64,original
441,-6.44,64,original
442,-7.675,64,original
443,-6.602,64,original
444,-6.592,64,original
445,-7.421,64,original
446,-6.567,64,original
447,-6.46,64,original
448,-7.177,64,original
449,-7.717,64,original
450,-7.108,64,original
451,-6.21,64,original
452,-7.919,64,original
453,-7.501,64,original
454,-6.473,64,original
455,-7.487,64,original
456,-6.526,64,original
457,-5.589,64,original
458,-6.569,64,original
459,-6.564,64,original
460,-7.018,64,original
461,-7.769,64,original
462,-7.988,64,original
463,-6.526,64,original
464,-6.868,64,original
465,-7.083,64,original
466,-6.799,64,original
467,-7.624,64,original
468,-5.58,64,original
469,-7.665,64,original
470,-7.149,64,original
471,-6.535,64,original
472,-7.668,64,original
473,-6.638,64,original
474,-6.871,64,original
475,-7.313,64,original
476,-6.563,64,original
477,-6.026,64,original
478,-5.849,64,original
479,-7.255,64,original
480,-7.252,64,original
481,-7.393,64,original
482,-7.799,64,original
483,-6.033,64,original
