sig_id,pert_id,pert_iname,cell_id,pert_idose,pert_itime
AML001_CD34_24H:BRD-A74382794:3.33333,BRD-A74382794,BRD-A74382794,CD34,3 µM,24 h
AML001_CD34_24H:BRD-A75409952:0.37037,BRD-A75409952,wortmannin,CD34,500 nM,24 h
AML001_CD34_24H:BRD-A75409952:1.11111,BRD-A75409952,wortmannin,CD34,1 µM,24 h
AML001_CD34_24H:BRD-A75409952:10,BRD-A75409952,wortmannin,CD34,10 µM,24 h
AML001_CD34_24H:BRD-A75409952:3.33333,BRD-A75409952,wortmannin,CD34,3 µM,24 h
AML001_CD34_24H:BRD-A95504714:0.37037,BRD-A95504714,BRD-A95504714,CD34,500 nM,24 h
AML001_CD34_24H:BRD-A95504714:1.11111,BRD-A95504714,BRD-A95504714,CD34,1 µM,24 h
AML001_CD34_24H:BRD-A95504714:10,BRD-A95504714,BRD-A95504714,CD34,10 µM,24 h
AML001_CD34_24H:BRD-A95504714:3.33333,BRD-A95504714,BRD-A95504714,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K03439359:0.37037,BRD-K03439359,BRD-K03439359,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K03439359:1.11111,BRD-K03439359,BRD-K03439359,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K03439359:10,BRD-K03439359,BRD-K03439359,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K03439359:3.33333,BRD-K03439359,BRD-K03439359,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K04986062:0.37037,BRD-K04986062,BRD-K04986062,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K04986062:1.11111,BRD-K04986062,BRD-K04986062,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K04986062:10,BRD-K04986062,BRD-K04986062,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K04986062:3.33333,BRD-K04986062,BRD-K04986062,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K05456756:0.37037,BRD-K05456756,BRD-K05456756,CD34,500 nM,24 h
AML001_CD34_24H:BRD-K05456756:1.11111,BRD-K05456756,BRD-K05456756,CD34,1 µM,24 h
AML001_CD34_24H:BRD-K05456756:10,BRD-K05456756,BRD-K05456756,CD34,10 µM,24 h
AML001_CD34_24H:BRD-K05456756:3.33333,BRD-K05456756,BRD-K05456756,CD34,3 µM,24 h
AML001_CD34_24H:BRD-K13077924:0.37037,BRD-K13077924,BRD-K13077924,CD34,500 nM,24 h
