sig_id,pert_id,pert_iname,cell_id,pert_idose,pert_itime
CPC008_PC3_24H:BRD-K44978960-019-01-8:10,BRD-K44978960,BRD-K44978960,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K45216862-001-01-9:10,BRD-K45216862,BRD-K45216862,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K45278408-001-05-1:10,BRD-K45278408,BRD-K45278408,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K45399554-001-04-0:10,BRD-K45399554,CAM-9-027-3,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K45505681-001-01-4:10,BRD-K45505681,BRD-K45505681,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K46017542-019-01-0:10,BRD-K46017542,BRD-K46017542,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K46555875-001-04-8:10,BRD-K46555875,BRD-K46555875,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K46872340-001-03-6:10,BRD-K46872340,KU-C103672,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K47324077-001-05-1:10,BRD-K47324077,BRD-K47324077,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K47695085-019-01-5:10,BRD-K47695085,BRD-K47695085,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K48654774-001-01-5:10,BRD-K48654774,BRD-K48654774,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K48844671-001-01-6:10,BRD-K48844671,BRD-K48844671,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K49183052-019-01-9:10,BRD-K49183052,VU-0415113-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K49712247-001-04-3:10,BRD-K49712247,BRD-K49712247,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K49791723-001-01-6:10,BRD-K49791723,BRD-K49791723,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K50135923-001-04-4:10,BRD-K50135923,KU-C104491,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K50218580-001-01-8:10,BRD-K50218580,BRD-K50218580,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K50746423-001-04-3:10,BRD-K50746423,BRD-K50746423,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K50985433-001-04-5:10,BRD-K50985433,BRD-K50985433,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K52163391-001-05-4:10,BRD-K52163391,BRD-K52163391,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K52695588-003-01-3:10,BRD-K52695588,BRD-K52695588,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K53032901-001-01-2:10,BRD-K53032901,BRD-K53032901,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K53780220-001-01-0:10,BRD-K53780220,BRD-K53780220,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K54070802-001-11-0:10,BRD-K54070802,BRD-K54070802,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K54470384-019-01-1:10,BRD-K54470384,BRD-K54470384,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K54687541-001-01-8:10,BRD-K54687541,BRD-K54687541,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K55186349-001-01-4:10,BRD-K55186349,BRD-K55186349,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K55487965-001-04-3:10,BRD-K55487965,BRD-K55487965,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K55703048-001-04-4:10,BRD-K55703048,latrepirdine,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K55938002-001-01-6:10,BRD-K55938002,VU-0405166-2,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K56489029-019-01-0:10,BRD-K56489029,BRD-K56489029,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K57044355-001-01-4:10,BRD-K57044355,BRD-K57044355,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K57238941-001-06-2:10,BRD-K57238941,BRD-K57238941,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K57353465-001-01-6:10,BRD-K57353465,BRD-K57353465,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K57592392-001-01-7:10,BRD-K57592392,BRD-K57592392,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K58033748-001-01-2:10,BRD-K58033748,BRD-K58033748,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K58247702-001-01-2:10,BRD-K58247702,BRD-K58247702,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K58846134-001-05-0:10,BRD-K58846134,BRD-K58846134,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K58853583-001-01-1:10,BRD-K58853583,BRD-K58853583,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K58999277-019-01-5:10,BRD-K58999277,BRD-K58999277,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K59222562-019-01-5:10,BRD-K59222562,BRD-K59222562,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K59470558-003-02-8:10,BRD-K59470558,BRD-K59470558,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K59633790-001-01-5:10,BRD-K59633790,VU-0420363-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K59795987-001-01-5:10,BRD-K59795987,VU-0415010,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K61127831-001-01-5:10,BRD-K61127831,VU-0413247-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K61718261-001-04-4:10,BRD-K61718261,BRD-K61718261,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K62466453-001-04-7:10,BRD-K62466453,BRD-K62466453,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K62578746-001-01-2:10,BRD-K62578746,BRD-K62578746,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K63178889-001-01-7:10,BRD-K63178889,BRD-K63178889,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K63308290-019-01-5:10,BRD-K63308290,BRD-K63308290,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K63712590-001-01-3:10,BRD-K63712590,BRD-K63712590,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K64058329-001-04-2:10,BRD-K64058329,BRD-K64058329,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K64409586-001-04-5:10,BRD-K64409586,KU-C104488,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K64738596-001-06-0:10,BRD-K64738596,BRD-K64738596,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K64780785-001-06-3:10,BRD-K64780785,BRD-K64780785,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K64822626-001-03-3:10,BRD-K64822626,KU-C104135,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K65283978-001-01-5:10,BRD-K65283978,BRD-K65283978,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66029294-001-01-8:10,BRD-K66029294,KU-C104126N,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66032149-001-01-9:10,BRD-K66032149,VU-0365117-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66037923-001-04-4:10,BRD-K66037923,BRD-K66037923,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66634822-001-01-6:10,BRD-K66634822,BRD-K66634822,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66634822-001-02-4:10,BRD-K66634822,BRD-K66634822,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66686673-019-01-8:10,BRD-K66686673,BRD-K66686673,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K66884694-001-05-3:10,BRD-K66884694,BRD-K66884694,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K67550673-001-06-2:10,BRD-K67550673,BRD-K67550673,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K67619794-001-01-0:10,BRD-K67619794,BRD-K67619794,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K67678077-001-01-4:10,BRD-K67678077,BRD-K67678077,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K68594214-001-01-6:10,BRD-K68594214,BRD-K68594214,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K68783079-019-01-1:10,BRD-K68783079,BRD-K68783079,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K68833544-001-01-9:10,BRD-K68833544,BRD-K68833544,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K68863575-001-01-8:10,BRD-K68863575,BRD-K68863575,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K69097969-001-03-2:10,BRD-K69097969,VU-0418939-2,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K69396629-001-01-4:10,BRD-K69396629,BRD-K69396629,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K69422440-001-01-5:10,BRD-K69422440,BRD-K69422440,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K69834151-001-01-0:10,BRD-K69834151,BRD-K69834151,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K70693222-019-01-4:10,BRD-K70693222,BRD-K70693222,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K70917163-001-04-0:10,BRD-K70917163,BRD-K70917163,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K70918941-001-05-4:10,BRD-K70918941,BRD-K70918941,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K71169984-001-04-4:10,BRD-K71169984,BRD-K71169984,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K71182391-001-01-0:10,BRD-K71182391,BRD-K71182391,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K71382703-001-01-9:10,BRD-K71382703,BRD-K71382703,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K71970656-001-04-2:10,BRD-K71970656,BRD-K71970656,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K73044744-001-03-0:10,BRD-K73044744,KU-C104495,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K73082558-019-01-1:10,BRD-K73082558,BRD-K73082558,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K74348865-001-04-5:10,BRD-K74348865,BRD-K74348865,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K74710236-001-04-8:10,BRD-K74710236,VU-0410183-2,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K74777906-001-01-2:10,BRD-K74777906,BRD-K74777906,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K75784474-019-01-1:10,BRD-K75784474,BRD-K75784474,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K75940587-001-01-1:10,BRD-K75940587,BRD-K75940587,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K75999307-001-05-7:10,BRD-K75999307,BRD-K75999307,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K76021727-019-01-2:10,BRD-K76021727,BRD-K76021727,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K76079827-001-01-7:10,BRD-K76079827,BRD-K76079827,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K76772814-001-01-2:10,BRD-K76772814,BRD-K76772814,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K76907295-001-03-8:10,BRD-K76907295,VU-0418947-2,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K77032321-001-04-0:10,BRD-K77032321,BRD-K77032321,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K77547509-001-01-7:10,BRD-K77547509,BRD-K77547509,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K77681376-001-01-4:10,BRD-K77681376,BRD-K77681376,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K77856555-001-03-1:10,BRD-K77856555,KU-C103874,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K78984681-019-01-3:10,BRD-K78984681,BRD-K78984681,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K79414420-019-01-6:10,BRD-K79414420,BRD-K79414420,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K79554012-001-01-1:10,BRD-K79554012,BRD-K79554012,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K80822897-001-05-0:10,BRD-K80822897,BRD-K80822897,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K81214387-019-01-7:10,BRD-K81214387,BRD-K81214387,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K81592585-001-05-5:10,BRD-K81592585,DM-55-3,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K82185908-019-01-8:10,BRD-K82185908,BRD-K82185908,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K82768082-001-01-7:10,BRD-K82768082,BRD-K82768082,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K83151319-001-03-6:10,BRD-K83151319,BRD-K83151319,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K83620635-001-02-9:10,BRD-K83620635,BRD-K83620635,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K83778500-001-01-9:10,BRD-K83778500,AT-CSC-18,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K84301121-001-01-8:10,BRD-K84301121,BRD-K84301121,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K84864079-019-01-9:10,BRD-K84864079,BRD-K84864079,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K84881516-001-01-2:10,BRD-K84881516,BRD-K84881516,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K85670329-001-05-6:10,BRD-K85670329,BRD-K85670329,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K85937960-019-01-4:10,BRD-K85937960,BRD-K85937960,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K86273012-019-01-1:10,BRD-K86273012,BRD-K86273012,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K86631041-001-02-1:10,BRD-K86631041,BRD-K86631041,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K86992982-001-04-4:10,BRD-K86992982,BRD-K86992982,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K87338781-001-01-8:10,BRD-K87338781,BRD-K87338781,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K87403606-001-01-3:10,BRD-K87403606,BRD-K87403606,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K87446239-001-03-3:10,BRD-K87446239,KU-C104129,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K87547250-001-03-2:10,BRD-K87547250,KU-C104218,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K87726525-001-05-6:10,BRD-K87726525,BRD-K87726525,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K88317944-001-01-5:10,BRD-K88317944,VU-0420364-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K88622704-001-05-9:10,BRD-K88622704,BRD-K88622704,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K88668773-001-05-8:10,BRD-K88668773,BRD-K88668773,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K88707333-001-04-0:10,BRD-K88707333,BRD-K88707333,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K88761633-001-01-0:10,BRD-K88761633,BRD-K88761633,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K88906571-001-01-5:10,BRD-K88906571,VU-0413238-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K89059493-001-01-7:10,BRD-K89059493,BRD-K89059493,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K89093471-001-03-8:10,BRD-K89093471,VU-0418934-2,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K89209981-001-01-7:10,BRD-K89209981,BRD-K89209981,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K89563433-001-04-5:10,BRD-K89563433,BRD-K89563433,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K89748981-001-01-4:10,BRD-K89748981,BRD-K89748981,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K89997465-001-07-9:10,BRD-K89997465,chlorpromazine,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K90446130-019-01-4:10,BRD-K90446130,BRD-K90446130,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K90667125-001-01-0:10,BRD-K90667125,BRD-K90667125,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K90692502-001-04-5:10,BRD-K90692502,BRD-K90692502,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K90736214-001-01-5:10,BRD-K90736214,BRD-K90736214,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K90912239-001-01-3:10,BRD-K90912239,BRD-K90912239,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K91442916-001-03-6:10,BRD-K91442916,CAM-9-026,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K91449330-001-01-3:10,BRD-K91449330,BRD-K91449330,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K91600270-019-01-5:10,BRD-K91600270,BRD-K91600270,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K91913968-001-08-2:10,BRD-K91913968,BRD-K91913968,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92020737-001-01-0:10,BRD-K92020737,BRD-K92020737,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92158425-001-01-5:10,BRD-K92158425,BRD-K92158425,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92202821-001-01-1:10,BRD-K92202821,BRD-K92202821,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92269225-001-03-8:10,BRD-K92269225,KU-C103881,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92343999-001-03-5:10,BRD-K92343999,KU-C104253,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92742972-001-06-2:10,BRD-K92742972,BRD-K92742972,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K92817986-001-03-3:10,BRD-K92817986,BIX-02188,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K93060291-001-03-9:10,BRD-K93060291,TL-HRAS-24,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K93623501-019-01-6:10,BRD-K93623501,BRD-K93623501,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K94304934-001-04-1:10,BRD-K94304934,BRD-K94304934,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95037415-001-06-9:10,BRD-K95037415,BRD-K95037415,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95048846-001-01-6:10,BRD-K95048846,VU-0413255-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95117060-001-04-2:10,BRD-K95117060,BRD-K95117060,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95168667-001-04-2:10,BRD-K95168667,BRD-K95168667,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95212245-001-03-1:10,BRD-K95212245,DM-161,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95286134-001-01-3:10,BRD-K95286134,BRD-K95286134,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95337198-001-04-1:10,BRD-K95337198,BRD-K95337198,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95495709-001-05-6:10,BRD-K95495709,BRD-K95495709,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95807833-001-03-6:10,BRD-K95807833,KU-C104139,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K95858622-001-03-4:10,BRD-K95858622,BRD-K95858622,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K96072942-001-01-8:10,BRD-K96072942,BRD-K96072942,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K96740880-001-05-5:10,BRD-K96740880,BRD-K96740880,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K97476371-001-01-0:10,BRD-K97476371,VU-0415011,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K97516968-001-01-2:10,BRD-K97516968,VU-0418000-1,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K97936712-001-01-1:10,BRD-K97936712,BRD-K97936712,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K98079119-001-01-8:10,BRD-K98079119,BRD-K98079119,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K98173387-001-01-4:10,BRD-K98173387,BRD-K98173387,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K98439022-001-01-0:10,BRD-K98439022,BRD-K98439022,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K98575502-001-01-0:10,BRD-K98575502,BRD-K98575502,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K98676510-001-01-6:10,BRD-K98676510,BRD-K98676510,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-K99530743-001-01-3:10,BRD-K99530743,BRD-K99530743,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-U77632492-000-01-6:10,BRD-U77632492,KU-C104220,PC3,10 µM,24 h
CPC008_PC3_24H:BRD-U88878891-000-01-9:10,BRD-U88878891,BRD-U88878891,PC3,10 µM,24 h
CPC008_PC3_6H:BRD-A00626522-001-05-7:10,BRD-A00626522,BRD-A00626522,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A01999384-001-04-7:10,BRD-A01999384,BRD-A01999384,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A03436432-001-04-0:10,BRD-A03436432,BRD-A03436432,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A04392722-001-04-3:10,BRD-A04392722,BRD-A04392722,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A05831822-001-01-4:10,BRD-A05831822,BRD-A05831822,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A08610364-001-04-7:10,BRD-A08610364,BRD-A08610364,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A08662020-014-01-3:10,BRD-A08662020,BRD-A08662020,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A11512624-001-04-6:10,BRD-A11512624,BRD-A11512624,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A11968133-001-01-0:10,BRD-A11968133,BRD-A11968133,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A12633378-001-05-4:10,BRD-A12633378,BRD-A12633378,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A17757596-001-01-1:10,BRD-A17757596,BRD-A17757596,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A18279961-019-01-4:10,BRD-A18279961,BRD-A18279961,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A19037878:10,BRD-A19037878,trichostatin-a,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A19500257:10,BRD-A19500257,geldanamycin,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A21406558-001-01-5:10,BRD-A21406558,BRD-A21406558,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A30612536-001-01-4:10,BRD-A30612536,BRD-A30612536,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A31946439-019-01-5:10,BRD-A31946439,BRD-A31946439,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A32595718-001-04-3:10,BRD-A32595718,BJM-CSC-15,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A32917072-001-05-6:10,BRD-A32917072,BRD-A32917072,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A34421300-001-01-0:10,BRD-A34421300,BRD-A34421300,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A38425832-001-01-4:10,BRD-A38425832,BRD-A38425832,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A38793261-001-01-5:10,BRD-A38793261,BRD-A38793261,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A38936397-001-04-1:10,BRD-A38936397,BRD-A38936397,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A42031983-019-01-3:10,BRD-A42031983,VU-0415555-1,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A43805296-014-01-2:10,BRD-A43805296,BRD-A43805296,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A52172093-001-01-7:10,BRD-A52172093,VU-0413807-2,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A61599461-001-01-4:10,BRD-A61599461,BRD-A61599461,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A62496920-001-05-8:10,BRD-A62496920,BRD-A62496920,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A63949900-019-01-0:10,BRD-A63949900,BRD-A63949900,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A66604020-001-01-1:10,BRD-A66604020,BRD-A66604020,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A66846505-001-01-2:10,BRD-A66846505,BRD-A66846505,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A68397902-019-01-5:10,BRD-A68397902,VU-0415535-1,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A75409952:10,BRD-A75409952,wortmannin,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A75558199-019-01-5:10,BRD-A75558199,BRD-A75558199,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A81045722-001-01-9:10,BRD-A81045722,BRD-A81045722,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A81377415-019-01-0:10,BRD-A81377415,BRD-A81377415,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A81389811-001-04-7:10,BRD-A81389811,BRD-A81389811,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A81416315-001-01-5:10,BRD-A81416315,BRD-A81416315,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A83255679-001-09-8:10,BRD-A83255679,BRD-A83255679,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A83993876-001-04-6:10,BRD-A83993876,BRD-A83993876,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A84445767-019-01-6:10,BRD-A84445767,BRD-A84445767,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A89104433-019-01-8:10,BRD-A89104433,VU-0415556-1,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A93975555-001-06-4:10,BRD-A93975555,BRD-A93975555,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A95937159-001-02-1:10,BRD-A95937159,BRD-A95937159,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A96746500-019-01-5:10,BRD-A96746500,BRD-A96746500,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-A96749488-001-01-3:10,BRD-A96749488,BRD-A96749488,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K00366212-001-01-2:10,BRD-K00366212,BRD-K00366212,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K00555438-001-06-7:10,BRD-K00555438,BRD-K00555438,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K00637033-003-01-9:10,BRD-K00637033,BRD-K00637033,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K00910650-001-01-6:10,BRD-K00910650,BRD-K00910650,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K01333970-019-01-5:10,BRD-K01333970,BRD-K01333970,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K01712134-001-03-7:10,BRD-K01712134,EMF-csc-9,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K01877528-001-06-5:10,BRD-K01877528,TL-HRAS-61,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K01896723-001-01-9:10,BRD-K01896723,BRD-K01896723,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K02216544-001-01-6:10,BRD-K02216544,BRD-K02216544,PC3,10 µM,6 h
CPC008_PC3_6H:BRD-K02313433-001-01-5:10,BRD-K02313433,BRD-K02313433,PC3,10 µM,6 h
