candidate,n_finite_rrs,min_abs_margin_to_70_or_80_percent,min_signed_margin_to_70_percent,max_signed_margin_to_70_percent,min_signed_margin_to_80_percent,max_signed_margin_to_80_percent,n_near_threshold_observations,near_threshold_candidate
PP-01,12,3.8666666700000007,13.86666667,22.473118279999994,3.8666666700000007,12.473118279999994,2,True
PP-02,4,7.912087909999997,17.912087909999997,24.61538462,7.912087909999997,14.61538462,0,False
PP-03,12,0.0,-4.174757279999994,11.415929199999994,-14.174757279999994,1.4159291999999937,12,True
PP-04,12,1.25,-3.125,35.28571429,-13.125,25.28571429,8,True
PP-05,4,0.6666666699999979,7.142857140000004,9.333333330000002,-2.857142859999996,-0.6666666699999979,4,True
PP-06,4,10.60606061,20.60606061,24.141414139999995,10.60606061,14.141414139999995,0,False
PP-07,12,1.8421052599999967,1.8421052599999967,14.175824180000006,-8.157894740000003,4.175824180000006,12,True
PP-08,12,2.7631578900000022,-7.89473684,13.918918919999996,-17.89473684,3.918918919999996,8,True
PP-09,12,0.5633802800000041,0.5633802800000041,6.478873239999999,-9.436619719999996,-3.5211267600000014,12,True
PP-10,12,3.636363639999999,5.714285709999999,19.642857140000004,-4.285714290000001,9.642857140000004,8,True
PP-11,4,2.5,12.5,12.700000000000003,2.5,2.700000000000003,4,True
PP-12,12,0.3846153799999996,-7.0666666699999965,17.179487179999995,-17.066666669999996,7.179487179999995,8,True
PP-13,4,19.397590359999995,29.397590359999995,40.240963859999994,19.397590359999995,30.240963859999994,0,False
PP-14,12,1.2000000000000028,-7.763157890000002,8.799999999999997,-17.763157890000002,-1.2000000000000028,8,True
PP-15,12,6.236559139999997,16.236559139999997,61.78571428999999,6.236559139999997,51.78571428999999,0,False
PP-16,12,0.11494252999999333,2.894736839999993,10.574712640000001,-7.105263160000007,0.5747126400000013,12,True
PP-17,12,3.243243239999998,-11.084337349999998,23.37837838,-21.08433735,13.378378380000001,2,True
