Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_341,-3.002,-2.318,-3.002,OTHERS
ligand_342,-4.396,-4.01,-4.396,OTHERS
ligand_343,-4.003,-3.222,-4.003,OTHERS
ligand_344,-4.219,-3.211,-4.219,OTHERS
ligand_345,-4.981,-3.38,-4.981,OTHERS
ligand_346,-6.099,-4.916,-6.099,OTHERS
ligand_347,-4.445,-2.921,-4.445,OTHERS
ligand_348,-4.124,-3.424,-4.124,OTHERS
ligand_349,-4.018,-3.156,-4.018,OTHERS
ligand_34,-4.664,-3.497,-4.664,OTHERS
ligand_350,-4.685,-3.082,-4.685,OTHERS
ligand_351,-4.871,-3.429,-4.871,OTHERS
ligand_352,-5.169,-4.453,-5.169,OTHERS
ligand_353,-4.054,-3.466,-4.054,OTHERS
ligand_354,-4.578,-3.672,-4.578,OTHERS
ligand_355,-5.715,-4.749,-5.715,OTHERS
ligand_356,-5.267,-4.25,-5.267,OTHERS
ligand_357,-4.001,-2.969,-4.001,OTHERS
ligand_358,-4.077,-3.335,-4.077,OTHERS
ligand_359,-4.55,-3.323,-4.55,OTHERS
ligand_35,-3.79,-3.36,-3.79,OTHERS
ligand_360,-3.65,-2.401,-3.65,OTHERS
ligand_361,-4.308,-3.382,-4.308,OTHERS
ligand_362,-5.369,-3.983,-5.369,OTHERS
ligand_363,-4.39,-3.737,-4.39,OTHERS
ligand_364,-3.813,-2.683,-3.813,OTHERS
ligand_365,-3.494,-2.795,-3.494,OTHERS
ligand_366,-3.752,-2.653,-3.752,OTHERS
ligand_367,-3.862,-3.063,-3.862,OTHERS
ligand_368,-4.992,-3.692,-4.992,OTHERS
ligand_369,-3.525,-2.902,-3.525,OTHERS
ligand_36,-4.028,-3.351,-4.028,OTHERS
ligand_370,-4.275,-3.807,-4.275,OTHERS
ligand_371,-4.534,-3.415,-4.534,OTHERS
ligand_372,-4.434,-3.223,-4.434,OTHERS
ligand_373,-4.618,-4.113,-4.618,OTHERS
ligand_374,-4.507,-3.97,-4.507,OTHERS
ligand_375,-4.05,-2.966,-4.05,OTHERS
ligand_376,-3.142,-2.251,-3.142,OTHERS
ligand_377,-4.317,-3.258,-4.317,OTHERS
ligand_378,-3.414,-2.633,-3.414,OTHERS
ligand_379,-4.482,-3.509,-4.482,OTHERS
ligand_37,-4.437,-3.086,-4.437,OTHERS
ligand_380,-4.139,-3.51,-4.139,OTHERS
ligand_381,-4.136,-3.254,-4.136,OTHERS
ligand_382,-5.308,-3.749,-5.308,OTHERS
ligand_383,-3.856,-3.099,-3.856,OTHERS
ligand_384,-4.533,-2.805,-4.533,OTHERS
ligand_385,-5.144,-3.593,-5.144,OTHERS
ligand_386,-4.612,-3.517,-4.612,OTHERS
ligand_387,-4.622,-4.311,-4.622,OTHERS
ligand_388,-3.857,-3.193,-3.857,OTHERS
ligand_389,-4.032,-3.487,-4.032,OTHERS
ligand_38,-3.661,-3.523,-3.661,OTHERS
ligand_390,-4.496,-3.074,-4.496,OTHERS
ligand_391,-4.804,-4.106,-4.804,OTHERS
ligand_392,-4.316,-3.297,-4.316,OTHERS
ligand_393,-3.759,-2.561,-3.759,OTHERS
ligand_394,-4.229,-3.514,-4.229,OTHERS
ligand_395,-5.084,-3.995,-5.084,OTHERS
ligand_396,-4.172,-3.848,-4.172,OTHERS
ligand_397,-4.273,-3.641,-4.273,OTHERS
ligand_398,-3.753,-3.008,-3.753,OTHERS
ligand_399,-3.969,-3.692,-3.969,OTHERS
ligand_39,-3.938,-2.909,-3.938,OTHERS
ligand_3,-3.843,-2.766,-3.843,OTHERS
ligand_40,-4.697,-3.689,-4.697,OTHERS
ligand_41,-3.807,-3.109,-3.807,OTHERS
ligand_42,-4.36,-4.135,-4.36,OTHERS
ligand_43,-4.529,-3.712,-4.529,OTHERS
ligand_44,-4.215,-3.306,-4.215,OTHERS
ligand_45,-3.469,-2.782,-3.469,OTHERS
ligand_46,-4.193,-3.197,-4.193,OTHERS
ligand_47,-3.144,-2.365,-3.144,OTHERS
ligand_48,-4.356,-3.174,-4.356,OTHERS
ligand_49,-4.306,-3.607,-4.306,OTHERS
ligand_4,-3.884,-2.748,-3.884,OTHERS
ligand_50,-4.359,-3.959,-4.359,OTHERS
ligand_51,-4.109,-3.043,-4.109,OTHERS
ligand_52,-4.189,-3.483,-4.189,OTHERS
ligand_53,-5.447,-3.78,-5.447,OTHERS
ligand_54,-4.292,-3.085,-4.292,OTHERS
ligand_55,-3.614,-2.401,-3.614,OTHERS
ligand_56,-4.787,-3.83,-4.787,OTHERS
ligand_57,-4.636,-3.492,-4.636,OTHERS
ligand_58,-3.734,-3.079,-3.734,OTHERS
ligand_59,-4.081,-3.325,-4.081,OTHERS
ligand_5,-4.595,-3.817,-4.595,OTHERS
ligand_60,-4.192,-3.379,-4.192,OTHERS
ligand_61,-5.232,-3.981,-5.232,OTHERS
ligand_62,-5.016,-3.785,-5.016,OTHERS
ligand_63,-3.898,-2.538,-3.898,OTHERS
ligand_64,-3.459,-2.629,-3.459,OTHERS
ligand_65,-4.317,-3.525,-4.317,OTHERS
ligand_66,-4.11,-3.164,-4.11,OTHERS
ligand_67,-3.757,-3.012,-3.757,OTHERS
ligand_68,-3.89,-2.815,-3.89,OTHERS
ligand_69,-4.126,-3.336,-4.126,OTHERS
ligand_6,-4.484,-2.597,-4.484,OTHERS
ligand_70,-3.908,-3.227,-3.908,OTHERS
ligand_71,-4.303,-3.14,-4.303,OTHERS
ligand_72,-3.999,-3.156,-3.999,OTHERS
ligand_73,-4.954,-3.877,-4.954,OTHERS
ligand_74,-4.092,-3.223,-4.092,OTHERS
ligand_75,-3.793,-3.158,-3.793,OTHERS
ligand_76,-4.294,-3.439,-4.294,OTHERS
ligand_77,-4.135,-3.41,-4.135,OTHERS
ligand_78,-3.943,-3.319,-3.943,OTHERS
ligand_79,-4.581,-3.96,-4.581,OTHERS
ligand_7,-3.79,-3.018,-3.79,OTHERS
ligand_80,-3.906,-2.809,-3.906,OTHERS
ligand_81,-4.428,-2.984,-4.428,OTHERS
ligand_82,-3.922,-2.933,-3.922,OTHERS
ligand_83,-4.166,-3.501,-4.166,OTHERS
ligand_84,-4.251,-3.481,-4.251,OTHERS
ligand_85,-4.205,-3.113,-4.205,OTHERS
ligand_86,-4.009,-3.322,-4.009,OTHERS
ligand_87,-4.3,-4.074,-4.3,OTHERS
ligand_88,-3.863,-3.322,-3.863,OTHERS
ligand_89,-3.583,-3.002,-3.583,OTHERS
ligand_8,-4.433,-3.316,-4.433,OTHERS
ligand_90,-4.041,-2.899,-4.041,OTHERS
ligand_91,-3.542,-2.928,-3.542,OTHERS
ligand_92,-4.008,-2.783,-4.008,OTHERS
ligand_93,-4.012,-3.624,-4.012,OTHERS
ligand_94,-3.72,-2.782,-3.72,OTHERS
ligand_95,-4.001,-3.221,-4.001,OTHERS
ligand_96,-4.086,-3.794,-4.086,OTHERS
ligand_97,-4.404,-3.255,-4.404,OTHERS
ligand_98,-5.184,-3.957,-5.184,OTHERS
ligand_99,-4.548,-3.582,-4.548,OTHERS
ligand_9,-4.048,-3.415,-4.048,OTHERS
