method,seed,smiles,mpo,syba,sa,rrs,pns
ga,18,CC(N)(C1CCOC1)C1(Cc2ccsc2)CCSC1,0.9269185429754013,0.9939142283295571,3.0,0.10810810810810811,0.0
random,9,CC(C)(C)C(C)(c1cnoc1)C(C)(N)c1ccsc1,0.9256220903568674,0.9977779428699222,3.0,0.1044776119402985,0.0
mcts,18,CC(C)CC(N)(c1ccncc1)c1ccsc1,0.8977503108638732,0.9999491611735326,3.0,0.12903225806451613,0.0
mcts,13,CCC(C)(CO)C(c1ccsc1)(c1cnccn1)C(C)(C)C,0.8947833025402587,0.999937530538951,3.0,0.1232876712328767,0.0
random,5,CC(C)(C)C(O)(Cc1cnsc1)c1cnsc1,0.9302143756334792,0.9538347513451764,3.0,0.12962962962962962,0.0
mcts,17,O=C(O)CC(c1ccoc1)c1ccsc1,0.8647802324046288,0.9998702447255038,3.0,0.14492753623188406,0.0
ga,19,CC(C)C(C)(O)C(c1cnsc1)C(C)(O)c1ccoc1,0.8890543358011965,0.9547563423714228,3.0,0.15942028985507245,0.0
random,8,NC(Cc1ccoc1)(c1cnccn1)C1CCOC1,0.9003236656310071,0.999324196159841,3.0,0.0945945945945946,0.0
ga,15,CC(CN)C(C)(c1ccsc1)C1(C)CCSC1,0.9007857827668598,0.9651758894915032,3.0,0.12698412698412698,0.0
mcts,1,CC(N)C(N)(Cc1ccncc1)c1ccsc1,0.866786115213939,0.9998467349530429,3.0,0.12307692307692308,0.0
ga,10,c1ncc(C(c2ccoc2)C2CCNCC2)cn1,0.8975320254089871,0.9763668341265642,3.0,0.09803921568627451,0.0
ga,13,CCC(C)(c1ccncc1)C1(C)CCOC1,0.7786494095887488,0.9935182071891507,3.0,0.140625,0.0
mcts,9,CCC(c1cnsc1)(C(C)(C)C)C(C)(N)Cc1cnoc1,0.9125250881829795,0.8963119376911933,3.0,0.10294117647058823,0.0
