mpo,syba,rrs,pns
0.8839562932974228,0.9998919493802823,0.18181818181818182,1.0
0.9051772606592705,0.9204134167044524,0.14285714285714285,1.0
0.9342832656902572,0.8902299173377176,0.136986301369863,1.0
0.9212565073968719,0.995404308309504,0.15254237288135594,0.0
0.9076165815398843,0.986376049122055,0.1694915254237288,0.0
0.9388763566534761,0.9961889506638985,0.11940298507462686,0.0
0.9002637762391391,0.9927724581811043,0.15584415584415584,0.0
0.9399399267906023,0.9927638779008576,0.1125,0.0
0.9425777625656383,0.9809826398660147,0.1076923076923077,0.0
0.9256220903568674,0.9977779428699222,0.1044776119402985,0.0
0.9302143756334792,0.9538347513451764,0.12962962962962962,0.0
0.9003236656310071,0.999324196159841,0.0945945945945946,0.0
