step,mpo_pred,log_posterior,latent_1,latent_2
0,0.7828739717137873,-4.538385259666603,9.077381134033203,5.095953464508057
1,0.7712107020137082,-4.6056632020915265,9.107852842008647,4.991955053884007
2,0.7739157576151066,-4.625737100279977,9.022548449251289,5.07989485137029
3,0.7749955560315105,-4.728839602184612,9.110393479382017,5.0749022602716645
4,0.7585408439513089,-5.089385736210665,9.146937885818424,5.116175521431264
5,0.7723868258039185,-4.621474210299559,9.135543140052937,5.032159873735011
6,0.772197425851764,-4.6805564359307,9.14721172096701,5.054028733407912
7,0.7733983899027632,-4.6274679955069065,9.115244599331279,5.006991467978632
8,0.7739277890007212,-4.669766501483856,9.0817560963327,5.023266774489133
9,0.774683081079048,-4.5668913588711515,8.954187463998908,4.909938053088784
10,0.77467073846448,-4.604048689685389,9.016746503395641,4.879003399116761
11,0.7755800577872312,-4.514689209004196,9.01799591526841,4.927078065007352
12,0.7758698149728623,-4.3182894726399725,8.8732846680261,4.794808103771912
13,0.7756679891666064,-4.339613900846123,8.947036224872809,4.701446335770924
14,0.7761733629551979,-4.252126826433492,8.887621229303129,4.556840550332078
15,0.7759184058936773,-4.189834377458217,8.785271480040942,4.57476811382771
16,0.7753021271298911,-4.272663766050469,8.721296326765968,4.482110519687157
17,0.7760611494159754,-4.212233583247783,8.805108983555407,4.681783608856335
18,0.7754050938869046,-4.149586597950972,8.763573257537438,4.620573928950354
19,0.7752142466603218,-4.216358999134175,8.714942466630104,4.615195673868522
20,0.7758743404704093,-4.24241270380323,8.92778943987362,4.533057005946083
21,0.776422613804503,-4.2856440548982055,8.972396660021829,4.487558657912005
22,0.7731887583327105,-4.333491639162143,9.102996834192512,4.509496908048391
23,0.7731887583327105,-4.333491639162143,9.102996834192512,4.509496908048391
24,0.7727754505472659,-4.3477247048558745,9.102484647520505,4.493152618195939
25,0.7747760112176791,-4.141412687737389,8.980603341478142,4.405337381503064
26,0.7745366031642229,-4.131304918738042,9.080879124008602,4.459148925203457
27,0.7745366031642229,-4.131304918738042,9.080879124008602,4.459148925203457
28,0.7731013495740345,-4.113996435025086,9.112439624367637,4.57973428729228
29,0.775568285636207,-4.275055171586294,9.024753546550878,4.570308031867024
30,0.7765576227837102,-4.111498424293016,8.907596883668344,4.533483136188221
31,0.7762853530289144,-4.128624562525734,8.869981276545333,4.520100839736617
32,0.7764196133663689,-4.163607828480067,8.88552420931218,4.555276480576538
33,0.776419613366369,-4.163607828480067,8.88552420931218,4.555276480576538
34,0.7762072282742433,-4.148215600099526,8.774481140870732,4.508123999831543
35,0.7763064016308365,-4.127846314874672,8.921630338170047,4.251458155738414
36,0.7763064016308368,-4.127846314874672,8.921630338170047,4.251458155738414
37,0.7763064016308368,-4.127846314874672,8.921630338170047,4.251458155738414
38,0.7755587958044862,-4.173202930932227,9.020588731629532,4.133627793426927
39,0.7755587958044865,-4.173202930932227,9.020588731629532,4.133627793426927
40,0.7761338466280857,-4.036532974100139,8.953474703889874,4.164828740582052
41,0.7663267979322012,-4.267566479746473,9.115095672054995,3.9585049129015775
42,0.7512170945531799,-4.8437419744099826,9.196472041051615,4.065352068500482
43,0.7355647133668803,-5.671843368693516,9.296454465742645,3.959498460302641
44,0.7365752841007532,-5.94976747337107,9.429350524786344,4.045177858559294
45,0.7373147768720757,-5.815171652014405,9.440138569220647,4.176132927045346
46,0.7374690010800979,-5.779418947688169,9.467765987153502,4.03485633865611
47,0.7496882437210353,-5.200096272086196,9.543779295691088,4.057777476067617
