centroid_id,best_target,best_score,best_exhaustiveness,best_tag,tag,pfDHFR,pfCRT,pfATP4,pfClpP
354,pfDHFR,-7.995,64,original,original,-7.995,-7.143,-7.389,-4.845
355,pfDHFR,-8.798,64,original,original,-8.798,-8.401,-7.417,-4.076
356,pfCRT,-11.001,64,original,original,-8.58,-11.001,-8.047,-4.032
357,pfCRT,-10.695,64,original,original,-8.855,-10.695,-7.861,-4.288
358,pfCRT,-6.129,64,original,original,-5.901,-6.129,-5.345,-4.039
359,pfCRT,-6.703,64,original,original,-6.114,-6.703,-4.993,-3.575
360,pfCRT,-9.407,64,original,original,-8.759,-9.407,-6.575,-4.807
361,pfCRT,-8.143,64,original,original,-6.047,-8.143,-7.543,-4.48
362,pfCRT,-7.532,64,original,original,-7.225,-7.532,-6.138,-4.138
363,pfCRT,-5.817,64,original,original,-5.554,-5.817,-5.376,-3.642
364,pfCRT,-7.235,64,original,original,-6.79,-7.235,-6.653,-4.47
365,pfCRT,-7.63,64,original,original,-7.07,-7.63,-6.436,-4.04
366,pfCRT,-8.192,64,original,original,-8.111,-8.192,-6.986,-4.618
367,pfCRT,-7.36,64,original,original,-6.537,-7.36,-6.196,-4.807
368,pfCRT,-10.611,64,original,original,-6.984,-10.611,-8.338,-5.187
369,pfCRT,-10.043,64,original,original,-8.864,-10.043,-6.747,-5.093
370,pfCRT,-9.744,64,original,original,-8.245,-9.744,-6.741,-4.631
371,pfCRT,-6.687,64,original,original,-6.662,-6.687,-5.899,-3.917
372,pfCRT,-9.65,64,original,original,-7.694,-9.65,-6.944,-5.112
373,pfCRT,-7.6,64,original,original,-6.132,-7.6,-7.187,-4.416
374,pfATP4,-6.602,32,rerun,mixed,,,-6.602,
375,pfATP4,-6.787,32,rerun,mixed,,,-6.787,
376,pfATP4,-7.406,32,rerun,mixed,,,-7.406,
377,pfCRT,-7.617,64,original,original,-6.855,-7.617,-6.043,-3.428
378,pfATP4,-6.278,32,rerun,mixed,,,-6.278,
379,pfATP4,-7.316,64,original,original,,-1.484,-7.316,-4.068
380,pfATP4,-7.173,64,original,original,,-1.127,-7.173,-3.954
381,pfATP4,-7.754,64,original,original,-6.271,-4.619,-7.754,-4.244
382,pfATP4,-7.979,64,original,original,-5.805,-4.313,-7.979,-4.357
383,pfATP4,-7.992,64,original,original,,-4.441,-7.992,-4.392
384,pfATP4,-7.926,64,original,original,-5.917,-4.717,-7.926,-4.188
385,pfATP4,-7.901,64,original,original,-5.51,-5.019,-7.901,-4.637
386,pfATP4,-7.562,64,original,original,-4.882,-6.558,-7.562,-4.611
387,pfCRT,-5.239,64,original,original,-5.155,-5.239,-5.13,-3.383
388,pfCRT,-9.984,64,original,original,-8.5,-9.984,-7.332,-5.429
389,pfDHFR,-8.862,64,original,original,-8.862,-8.791,-6.791,-4.696
390,pfDHFR,-7.907,64,original,original,-7.907,-7.859,-6.386,-4.263
391,pfCRT,-7.983,64,original,original,-7.405,-7.983,-6.813,-5.325
392,pfCRT,-10.029,64,original,original,,-10.029,-7.773,
393,pfCRT,-8.59,64,original,original,-7.117,-8.59,-6.479,-4.105
394,pfCRT,-7.006,64,original,original,-6.531,-7.006,-6.031,-4.167
395,pfCRT,-7.925,64,original,original,-7.465,-7.925,-7.314,-4.501
396,pfCRT,-8.14,64,original,original,-6.347,-8.14,-6.979,-3.948
397,pfCRT,-9.139,64,original,original,-7.737,-9.139,-6.691,-5.174
398,pfDHFR,-8.637,64,original,original,-8.637,-8.596,-7.56,-4.454
399,pfCRT,-7.476,64,original,original,-6.859,-7.476,-6.438,-4.379
400,pfCRT,-7.409,64,original,original,-6.817,-7.409,-5.444,-3.593
401,pfCRT,-7.337,64,original,original,-6.321,-7.337,-5.864,-4.081
402,pfCRT,-8.448,64,original,original,-7.156,-8.448,-6.931,-4.654
403,pfCRT,-9.451,64,original,original,-7.285,-9.451,-8.501,-4.69
404,pfCRT,-6.815,64,original,original,-6.051,-6.815,-5.499,-4.437
405,pfATP4,-6.573,64,original,original,,-1.556,-6.573,-3.809
406,pfCRT,-7.291,64,original,original,-6.727,-7.291,-6.462,-4.394
407,pfCRT,-9.474,64,original,original,-8.097,-9.474,-7.707,-4.915
408,pfCRT,-7.355,64,original,original,-7.196,-7.355,-6.672,-4.931
409,pfCRT,-6.783,64,original,original,-6.265,-6.783,-5.653,-3.481
410,pfCRT,-8.635,64,original,original,-7.396,-8.635,-6.342,-3.821
411,pfCRT,-8.007,64,original,original,-6.969,-8.007,-6.502,-4.853
412,pfCRT,-8.298,64,original,original,-7.281,-8.298,-5.674,-3.662
413,pfCRT,-10.272,64,original,original,-7.619,-10.272,-7.274,-4.571
414,pfCRT,-8.211,64,original,original,-7.312,-8.211,-6.914,-4.405
415,pfCRT,-7.571,64,original,original,-6.973,-7.571,-5.399,-4.098
416,,,,,original,,,,
417,pfCRT,-7.506,64,original,original,-6.928,-7.506,-6.156,-4.261
418,pfCRT,-8.838,64,original,original,-7.629,-8.838,-7.666,-4.77
419,pfCRT,-8.592,64,original,original,-7.202,-8.592,-6.536,-4.082
420,pfCRT,-7.052,64,original,original,-6.493,-7.052,-6.182,-4.502
421,pfCRT,-9.276,64,original,original,-7.15,-9.276,-6.436,-3.882
422,pfCRT,-7.472,64,original,original,-6.68,-7.472,-6.214,-3.988
423,pfCRT,-7.705,64,original,original,-6.897,-7.705,-6.641,-4.5
424,pfCRT,-7.862,64,original,original,-6.849,-7.862,-6.788,-4.863
425,pfCRT,-7.246,64,original,original,-5.733,-7.246,-7.017,-4.39
426,pfCRT,-6.026,64,original,original,-5.363,-6.026,-5.114,-3.673
427,pfCRT,-7.345,64,original,original,-6.425,-7.345,-5.986,-3.703
428,pfCRT,-10.734,64,original,original,-9.558,-10.734,-7.605,-5.067
429,pfCRT,-10.096,64,original,original,-7.174,-10.096,-7.628,-4.746
430,pfCRT,-10.715,64,original,original,-8.826,-10.715,-7.609,-5.505
431,pfCRT,-10.111,64,original,original,-8.081,-10.111,-7.883,-4.675
432,pfCRT,-9.117,64,original,original,-7.467,-9.117,-7.471,-4.615
433,pfCRT,-8.415,64,original,original,-7.991,-8.415,-6.716,-4.404
434,pfATP4,-8.133,32,rerun,mixed,,,-8.133,
435,pfCRT,-10.551,64,original,original,-8.855,-10.551,-6.356,-5.372
436,pfCRT,-8.439,64,original,original,-7.401,-8.439,-6.923,-5.018
437,pfCRT,-7.444,64,original,original,-5.491,-7.444,-5.163,-3.784
438,pfCRT,-10.395,64,original,original,-10.182,-10.395,-8.22,-4.735
439,pfCRT,-7.197,64,original,original,-6.393,-7.197,-5.883,-3.606
440,pfCRT,-8.104,64,original,original,-6.665,-8.104,-6.245,-3.867
441,pfCRT,-8.304,64,original,original,-7.471,-8.304,-6.44,-4.437
442,pfCRT,-9.004,64,original,original,-8.952,-9.004,-7.675,-5.161
443,pfCRT,-9.576,64,original,original,-7.392,-9.576,-6.602,-4.364
444,pfCRT,-8.638,64,original,original,-8.136,-8.638,-6.592,-5.15
445,pfCRT,-9.91,64,original,original,-7.699,-9.91,-7.421,-4.64
446,pfCRT,-9.326,64,original,original,-8.991,-9.326,-6.567,-4.849
447,pfCRT,-9.876,64,original,original,-8.365,-9.876,-6.46,-4.769
448,pfCRT,-8.565,64,original,original,-7.141,-8.565,-7.177,-4.089
449,pfCRT,-8.48,64,original,original,-6.178,-8.48,-7.717,-4.767
450,pfCRT,-8.675,64,original,original,-8.092,-8.675,-7.108,-4.538
451,pfCRT,-8.001,64,original,original,-7.182,-8.001,-6.21,-3.621
452,pfCRT,-10.611,64,original,original,-9.303,-10.611,-7.919,-4.461
453,pfATP4,-7.501,64,original,original,-5.73,-6.619,-7.501,-4.624
454,pfCRT,-9.016,64,original,original,-6.933,-9.016,-6.473,-4.122
455,pfCRT,-8.778,64,original,original,-7.977,-8.778,-7.487,-4.597
456,pfCRT,-8.927,64,original,original,-7.135,-8.927,-6.526,-4.675
457,pfCRT,-6.93,64,original,original,-6.28,-6.93,-5.589,-3.884
458,pfCRT,-9.654,64,original,original,-7.088,-9.654,-6.569,-4.71
459,pfCRT,-8.74,64,original,original,-7.609,-8.74,-6.564,-4.414
460,pfCRT,-9.203,64,original,original,-6.999,-9.203,-7.018,-4.457
461,pfATP4,-7.769,64,original,original,-3.882,-2.785,-7.769,-4.77
462,pfCRT,-9.475,64,original,original,-7.388,-9.475,-7.988,-5.421
463,pfCRT,-8.677,64,original,original,-8.052,-8.677,-6.526,-4.577
464,pfCRT,-10.128,64,original,original,-9.072,-10.128,-6.868,-4.828
465,pfCRT,-8.705,64,original,original,-7.743,-8.705,-7.083,-4.625
466,pfCRT,-8.707,64,original,original,-7.542,-8.707,-6.799,-4.282
467,pfCRT,-8.608,64,original,original,-4.234,-8.608,-7.624,-4.239
468,pfCRT,-6.712,64,original,original,-6.373,-6.712,-5.58,-4.149
469,pfCRT,-8.421,64,original,original,-7.854,-8.421,-7.665,-4.249
470,pfCRT,-9.136,64,original,original,-7.8,-9.136,-7.149,-4.662
471,pfCRT,-9.052,64,original,original,-7.514,-9.052,-6.535,-3.982
472,pfCRT,-11.072,64,original,original,-8.526,-11.072,-7.668,-5.967
473,pfCRT,-8.381,64,original,original,-8.177,-8.381,-6.638,-4.49
474,pfCRT,-9.031,64,original,original,-8.018,-9.031,-6.871,-4.413
475,pfCRT,-9.89,64,original,original,-8.549,-9.89,-7.313,-4.536
476,pfATP4,-6.563,64,original,original,-1.151,0.1,-6.563,-4.554
477,pfCRT,-7.849,64,original,original,-6.728,-7.849,-6.026,-4.287
478,pfCRT,-6.651,64,original,original,-6.044,-6.651,-5.849,-3.61
479,pfCRT,-8.852,64,original,original,-7.629,-8.852,-7.255,-4.413
480,pfATP4,-7.252,64,original,original,4.563,-0.67,-7.252,-4.578
481,pfCRT,-8.241,64,original,original,-5.867,-8.241,-7.393,-4.222
482,pfCRT,-10.537,64,original,original,-9.232,-10.537,-7.799,-4.677
483,pfCRT,-7.411,64,original,original,-7.323,-7.411,-6.033,-4.056
