centroid_id,best_target,best_score,best_exhaustiveness,best_tag,tag,pfDHFR,pfCRT,pfATP4,pfClpP
81,pfCRT,-10.27,64,original,original,-8.13,-10.27,-8.939,-5.66
82,pfCRT,-8.516,64,original,original,-6.876,-8.516,-6.59,-4.477
83,pfCRT,-8.307,64,original,original,-6.796,-8.307,-6.283,-4.475
84,pfCRT,-7.998,64,original,original,-6.593,-7.998,-5.719,-4.401
85,pfCRT,-8.427,64,original,original,-7.514,-8.427,-7.12,-5.085
86,pfCRT,-9.535,64,original,original,-7.636,-9.535,-6.585,-4.651
87,pfCRT,-8.776,64,original,original,-7.435,-8.776,-6.844,-4.75
88,pfATP4,-7.899,64,original,original,-3.053,-4.857,-7.899,-4.332
89,pfATP4,-8.618,64,original,original,-7.164,-6.176,-8.618,-4.321
90,pfCRT,-9.122,64,original,original,-7.574,-9.122,-6.985,-5.015
91,pfCRT,-8.987,64,original,original,-7.955,-8.987,-6.799,-4.942
92,pfCRT,-8.246,64,original,original,-6.991,-8.246,-6.947,-4.652
93,pfCRT,-8.236,64,original,original,-7.617,-8.236,-6.643,-4.768
94,pfCRT,-8.765,64,original,original,-7.638,-8.765,-6.699,-5.246
95,pfCRT,-9.555,64,original,original,-7.664,-9.555,-7.067,-5.111
96,pfCRT,-7.669,64,original,original,-6.558,-7.669,-6.907,-4.446
97,pfCRT,-7.237,64,original,original,-6.907,-7.237,-6.011,-4.321
98,pfCRT,-8.281,64,original,original,-7.387,-8.281,-6.438,-4.45
99,pfCRT,-7.648,64,original,original,-6.764,-7.648,-6.559,-4.592
100,pfCRT,-8.224,64,original,original,-6.779,-8.224,-5.983,-4.242
101,pfCRT,-7.854,64,original,original,-6.899,-7.854,-6.125,-4.718
102,pfCRT,-7.953,64,original,original,-6.949,-7.953,-6.098,-4.6
103,pfCRT,-8.972,64,original,original,-8.793,-8.972,-6.523,-4.612
104,pfCRT,-7.978,64,original,original,-4.778,-7.978,-7.662,-4.795
105,pfCRT,-8.396,64,original,original,-5.019,-8.396,-7.307,-4.603
106,pfATP4,-7.8,64,original,original,-4.245,-7.603,-7.8,-4.352
107,pfCRT,-9.301,64,original,original,-8.209,-9.301,-7.2,-4.792
108,pfCRT,-9.118,64,original,original,-8.764,-9.118,-7.101,-4.676
109,pfCRT,-10.178,64,original,original,-7.872,-10.178,-6.998,-4.295
110,pfCRT,-7.547,64,original,original,-6.566,-7.547,-6.835,-4.287
111,pfCRT,-7.176,64,original,original,-6.262,-7.176,-6.085,-4.042
112,pfCRT,-8.337,64,original,original,-7.137,-8.337,-6.005,-3.346
113,pfCRT,-6.517,64,original,original,-5.779,-6.517,-5.214,-4.153
114,pfCRT,-8.503,64,original,original,-7.201,-8.503,-6.73,-5.046
115,pfCRT,-9.343,64,original,original,-7.548,-9.343,-7.138,-5.009
116,pfCRT,-6.26,64,original,original,-5.746,-6.26,-5.674,-3.672
117,pfCRT,-9.141,64,original,original,-8.306,-9.141,-6.216,-4.521
118,pfCRT,-8.417,64,original,original,-7.413,-8.417,-6.829,-4.268
119,pfCRT,-7.453,64,original,original,-6.58,-7.453,-6.164,-4.03
120,pfCRT,-7.809,64,original,original,-7.106,-7.809,-6.53,-4.347
121,pfCRT,-7.81,64,original,original,-6.687,-7.81,-6.129,-4.637
122,pfCRT,-8.136,64,original,original,-7.083,-8.136,-6.597,-4.488
123,pfCRT,-9.577,64,original,original,-8.931,-9.577,-7.894,-4.645
124,pfCRT,-7.815,64,original,original,-6.185,-7.815,-6.512,-4.677
125,pfCRT,-7.728,64,original,original,-7.47,-7.728,-6.358,-4.295
126,pfCRT,-8.335,64,original,original,-6.94,-8.335,-6.316,-4.299
127,pfCRT,-7.96,64,original,original,-6.559,-7.96,-6.149,-4.293
128,pfCRT,-8.57,64,original,original,-7.145,-8.57,-6.517,-4.44
129,pfCRT,-8.181,64,original,original,-6.735,-8.181,-5.736,-4.029
130,pfCRT,-8.304,64,original,original,-7.75,-8.304,-6.355,-5.192
131,pfCRT,-8.436,64,original,original,-6.717,-8.436,-6.488,-4.738
132,pfCRT,-8.727,64,original,original,-7.444,-8.727,-6.821,-5.069
133,pfCRT,-8.819,64,original,original,-7.064,-8.819,-6.876,-4.858
134,pfCRT,-8.757,64,original,original,-6.833,-8.757,-6.999,-4.948
135,pfCRT,-8.601,64,original,original,-7.109,-8.601,-6.986,-4.22
136,pfCRT,-8.129,64,original,original,-7.391,-8.129,-6.551,-4.873
137,pfCRT,-8.252,64,original,original,-6.641,-8.252,-7.046,-4.331
138,pfCRT,-8.667,64,original,original,-6.303,-8.667,-7.449,-4.384
139,pfCRT,-9.763,64,original,original,-7.665,-9.763,-6.671,-4.203
140,pfCRT,-7.81,64,original,original,-6.087,-7.81,-6.476,-3.61
141,pfCRT,-7.904,64,original,original,-6.628,-7.904,-6.786,-3.905
142,pfCRT,-8.159,64,original,original,-6.806,-8.159,-6.713,-4.512
143,pfCRT,-8.153,64,original,original,-7.002,-8.153,-7.308,-4.162
144,pfCRT,-7.651,64,original,original,-6.725,-7.651,-6.599,-4.069
145,pfCRT,-8.159,64,original,original,-6.245,-8.159,-6.322,-4.418
146,pfCRT,-6.628,64,original,original,-6.246,-6.628,-6.497,-3.863
147,pfCRT,-8.629,64,original,original,-7.24,-8.629,-6.918,-4.464
148,pfCRT,-8.453,64,original,original,-7.172,-8.453,-6.911,-4.948
149,pfCRT,-9.67,64,original,original,-8.645,-9.67,-7.63,-5.086
150,pfCRT,-10.261,64,original,original,-8.704,-10.261,-7.975,-5.181
151,pfCRT,-9.846,64,original,original,-9.414,-9.846,-7.263,-4.679
152,pfCRT,-9.959,64,original,original,-9.673,-9.959,-8.125,-5.014
153,pfCRT,-10.69,64,original,original,-10.61,-10.69,-8.861,-4.846
154,pfCRT,-8.847,64,original,original,-7.268,-8.847,-6.933,-4.503
155,pfCRT,-9.109,64,original,original,-8.392,-9.109,-7.612,-4.923
156,pfCRT,-7.535,64,original,original,-7.264,-7.535,-6.559,-4.429
157,pfCRT,-9.544,64,original,original,-6.021,-9.544,-7.209,-4.39
158,pfCRT,-7.332,64,original,original,-7.253,-7.332,-6.546,-4.344
159,pfCRT,-7.632,64,original,original,-7.084,-7.632,-6.653,-4.548
160,pfCRT,-5.995,64,original,original,-5.618,-5.995,-5.118,-3.791
161,pfCRT,-7.597,64,original,original,-7.333,-7.597,-6.41,-4.248
162,pfCRT,-7.321,64,original,original,-7.298,-7.321,-6.586,-4.351
163,pfCRT,-8.415,64,original,original,-7.65,-8.415,-6.889,-4.556
164,pfDHFR,-7.962,64,original,original,-7.962,-7.874,-6.93,-4.726
165,pfCRT,-7.845,64,original,original,-6.808,-7.845,-6.952,-4.409
