seed,hypervolume,front_size,smiles,mpo,syba,sa,rrs,pns
4,1.3189,5,Oc1ccccc1CC1(n2ccnc2)CCCCN1,0.8864,0.0000,3.0000,0.1905,1.0000
4,1.3189,5,CCCCC1CCC(c2cc(C)c(O)c(OC)c2S(=O)(=O)N(C)C)OC1,0.7757,0.0000,3.0000,0.1970,1.0000
4,1.3189,5,Cc1cc(C(=O)N(C)C)c(CCCN)c(C2CCCCN2)c1Oc1ccccc1,0.7374,0.0000,3.0000,0.1975,1.0000
4,1.3189,5,Cc1cccc(O)c1Oc1ccc(O)c(CC(F)(F)F)c1,0.8877,0.0000,3.0000,0.0086,1.0000
4,1.3189,5,CCOc1c(Oc2ccc(O)cc2)c(CC)c(O)c(C)c1C1(OC)C(OC)C(c2ccccc2)C(O)CN1O,0.3031,0.0000,3.0000,0.1978,0.0440
