method,n_unique,front_size,hv,igd,spread,igd_loo,c_metric
random,20,12,17.2186044031004,0.13176423815344143,1.1005694665185983,0.2988522399385694,0.4666666666666667
greedy,1,1,16.786070610658264,0.6323674043058226,,0.42031399716217194,0.6666666666666666
ga,15,8,14.590339208340378,0.09336247066690076,0.9876616811509745,0.32309422390335024,0.0
baselines_pooled,36,12,16.226795225226354,0.07459294632920402,0.9333403004561485,0.30425419959595895,0.06666666666666667
mcts_canon,4,4,19.103116150903777,0.5019830353367147,0.6732606080297543,0.5019830353367147,0.8666666666666667
