centroid_id,final_status,category,vina_affinity_kcal_mol,gate_inside_fraction,gate_triad_min_A,note
108,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
109,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
110,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
111,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
112,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
113,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
114,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
115,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
116,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
117,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
118,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
119,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
120,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
121,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
122,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
123,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
124,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
125,PASS,REMEDIATION_PASS_RAW_VINA,-5.656,1.0,8.816373460783067,"re-docked, biological gate verified (array 15016)"
126,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
127,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
128,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
129,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
130,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
131,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
132,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
133,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
134,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
