candidate_id,v5_affinity_row,p2_candidate_rank,smiles,canonical_smiles
PP-01,1,1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1
PP-02,2,2,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC
PP-03,3,3,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2
PP-04,4,4,COc1ccc2c(OC)c3ccoc3nc2c1OC,COc1ccc2c(OC)c3ccoc3nc2c1OC
PP-05,5,5,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1
PP-06,6,6,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O
PP-07,7,7,CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1
PP-08,8,8,C=CCc1cc(OC)c2c(c1OC)OCO2,C=CCc1cc(OC)c2c(c1OC)OCO2
PP-09,9,9,CC(C)=CCc1ccc2cc[nH]c2c1,CC(C)=CCc1ccc2cc[nH]c2c1
PP-10,10,10,COc1cccc2c(=O)c3ccc(O)cc3oc12,COc1cccc2c(=O)c3ccc(O)cc3oc12
PP-11,11,11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1
PP-12,12,12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C
PP-13,13,13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1
PP-14,14,14,CC=Cc1cc(O)c(O)c(OC)c1,CC=Cc1cc(O)c(O)c(OC)c1
PP-15,15,15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2
PP-16,16,16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,Cc1occ2c1C(=O)c1c(O)cccc1C2=O
PP-17,17,17,O=C(O)C=Cc1ccc(O)cc1,O=C(O)C=Cc1ccc(O)cc1
