trial_number,value,drop_rate,pool_size,learning_rate,batch_size,kernel_size,encoder_n_layers,encoder_filters,decoder_filters
84,46.72859954833984,0.1258992151183676,3,0.0001559290401501,64,9,4,"(512, 512, 256, 32)",()
65,46.80300521850586,0.1616103071403794,1,0.0001986439532037,64,9,4,"(512, 512, 256, 32)",()
133,46.858341217041016,0.1406215223189433,3,0.0001782596713807,64,9,4,"(512, 512, 256, 32)",()
55,46.89809036254883,0.1591820239721616,2,0.0001960857218793,64,9,4,"(512, 512, 256, 32)",()
139,46.9127311706543,0.1550400444044491,3,0.0001927352444716,64,9,4,"(512, 512, 256, 32)",()
142,46.94512176513672,0.1561936873911209,4,0.0002236145541814,64,9,4,"(512, 512, 256, 32)",()
114,47.07402801513672,0.1229344467115594,3,0.0001634997301598,64,9,4,"(512, 512, 256, 32)",()
124,47.09667205810547,0.153179288168984,4,0.0002277901104151,64,9,4,"(512, 512, 256, 32)",()
64,47.375,0.1591485467829365,1,0.0002029386585956,64,9,4,"(512, 512, 256, 32)",()
134,47.47310256958008,0.1422488232661783,3,0.0001815093994692,64,9,4,"(512, 512, 256, 32)",()
137,47.56573486328125,0.1668964224656336,3,0.0001691943614552,64,9,4,"(512, 512, 256, 32)",()
51,47.59960174560547,0.1357296651277078,3,0.0001387395642666,64,9,4,"(512, 512, 256, 32)",()
63,47.61664581298828,0.1349985325616045,2,0.0001883847356228,64,9,4,"(512, 512, 256, 32)",()
106,47.64517211914063,0.1747043919117902,4,0.000219783225706,64,9,4,"(512, 512, 256, 32)",()
53,47.65304946899414,0.1363181306045679,3,0.0001542772094895,64,9,4,"(512, 512, 256, 32)",()
54,47.73450469970703,0.1367796783839901,2,0.0001735283258526,64,9,4,"(512, 512, 256, 32)",()
59,48.02968597412109,0.1339138870032527,1,0.0001758718967966,64,9,5,"(512, 512, 256, 32, 32)",()
42,48.33585357666016,0.1223429101659154,3,0.0002507563968827,64,9,3,"(512, 512, 256)",()
50,48.35718536376953,0.1367763751659375,3,0.0001737739152701,64,9,4,"(512, 512, 256, 32)",()
147,48.43587493896485,0.1944178298667689,4,0.0002892952671448,64,9,4,"(512, 512, 256, 32)",()
48,48.94266891479492,0.1355604441999512,3,0.0002148313054509,64,9,4,"(512, 512, 256, 32)",()
46,49.2622299194336,0.1429822550395487,3,0.0001449862580029,64,9,4,"(512, 512, 256, 32)",()
58,49.55189895629883,0.2155449836832529,2,0.000278177947736,64,9,4,"(512, 512, 256, 32)",()
44,50.16112518310547,0.1030105390940051,4,0.000145693013575,64,9,3,"(512, 512, 256)",()
120,54.73882675170898,0.1159163519402489,2,0.0003016469473337,64,9,4,"(512, 512, 256, 32)",()
52,56.78178024291992,0.2170758822191141,3,0.000113863624121,64,9,5,"(512, 512, 256, 32, 32)",()
23,57.30252456665039,0.1173890903250213,4,0.0004825034947064,128,3,3,"(128, 128, 128)",()
122,57.43280792236328,0.1001621711068068,3,0.0001421497811143,64,9,4,"(512, 256, 512, 32)",()
13,62.658084869384766,0.1027418000708512,4,0.0003229387186819,128,3,4,"(64, 128, 128, 32)",()
129,62.77172470092773,0.1479521545824099,1,0.0002265364130549,64,9,4,"(512, 64, 256, 32)",()
24,62.955543518066406,0.1114948874411064,3,0.0008898452896475,128,3,3,"(128, 128, 128)",()
68,64.17868041992188,0.1558453323829864,1,0.0003332063882389,64,9,4,"(512, 32, 256, 32)",()
74,64.2005844116211,0.1564372920426807,1,0.0001534277673069,64,9,4,"(512, 512, 256, 32)",()
111,65.4699478149414,0.27027712836659,8,0.0002037728714704,64,9,4,"(512, 512, 256, 32)",()
98,65.83436584472656,0.1316685551292943,4,0.0004163529036638,64,9,4,"(512, 512, 256, 32)",()
73,65.83784484863281,0.1389341281007407,1,0.0002080293538338,64,9,5,"(512, 512, 256, 32, 32)",()
4,66.39700317382812,0.1163100566219055,6,0.0022653156413948,128,11,3,"(128, 64, 128)",()
39,66.91944885253906,0.1895445866596501,4,0.0003968644063425,64,7,4,"(64, 64, 256, 512)",()
125,68.26699829101562,0.1548247386933246,5,0.0002378453406486,64,9,4,"(512, 512, 256, 32)",()
14,68.40184783935547,0.101408473336345,4,0.0004913460742665,128,3,3,"(128, 128, 128)",()
123,69.23973083496094,0.137783144529086,3,0.0001745988436115,64,9,4,"(512, 512, 256, 32)",()
70,73.7755355834961,0.205158626359089,1,0.0001957163486382,64,9,4,"(512, 256, 512, 32)",()
113,74.06719970703125,0.1405069102864599,3,0.0001797420559473,64,9,4,"(512, 512, 256, 32)",()
62,74.59123992919922,0.3356690676331472,2,0.0002602402027482,64,9,5,"(512, 512, 256, 32, 32)",()
6,76.65724182128906,0.137469907131237,4,0.0003391600849438,128,3,5,"(64, 128, 256, 32, 128)",()
2,77.11552429199219,0.2888859700647797,2,0.0026698666742744,256,5,3,"(256, 64, 64)",()
29,77.22258758544922,0.1002419345425995,5,0.0013584601331866,128,3,3,"(128, 128, 128)",()
32,77.88368225097656,0.255938554986349,2,0.0004743537699518,64,3,6,"(64, 128, 128, 32, 512, 32)",()
9,77.9397964477539,0.2896695316349301,1,0.0009621255553195,64,7,6,"(64, 256, 512, 64, 256, 64)",()
35,78.04178619384766,0.1531919710378923,3,0.0018764137633908,128,3,3,"(128, 64, 128)",()
49,78.09154510498047,0.1817186983350353,1,0.0002451471609713,64,9,4,"(512, 512, 256, 32)",()
16,78.35538482666016,0.1939011935318963,4,0.0006711632979128,128,9,4,"(32, 32, 128, 32)",()
105,78.57545471191406,0.1280659862602725,3,0.0001826435649821,64,9,4,"(512, 512, 256, 32)",()
41,78.88007354736328,0.1470907978082908,6,0.0025151253443944,128,5,5,"(32, 128, 32, 256, 64)",()
81,79.12725067138672,0.227129322552055,1,0.000270457175789,64,9,4,"(256, 256, 256, 32)",()
127,81.0035400390625,0.1757954311956524,4,0.0001918493228432,64,9,4,"(512, 512, 256, 32)",()
75,81.16102600097656,0.1330055915780625,1,0.0001198209067788,64,9,5,"(512, 512, 256, 32, 64)",()
88,81.29427337646484,0.1452393374473848,1,0.0001886680181059,64,11,4,"(512, 64, 256, 32)",()
83,81.52250671386719,0.1106555241789948,3,0.0002371043469138,64,9,4,"(512, 512, 256, 64)",()
8,81.68010711669922,0.3065201393204781,3,0.0038937887815945,128,5,4,"(256, 64, 256, 256)",()
119,81.84733581542969,0.1322493134215643,3,0.0001609569061589,64,7,7,"(512, 512, 64, 512, 512, 256, 128)",()
148,82.11536407470703,0.1434389109987251,3,0.0002437814985521,64,9,4,"(512, 512, 256, 32)",()
144,82.20003509521484,0.1611421235735547,4,0.0002126783541712,64,9,4,"(512, 512, 256, 32)",()
135,82.2222671508789,0.1437215703518689,3,0.000178562941339,64,9,4,"(512, 512, 256, 32)",()
89,82.28600311279297,0.1262311440575965,3,0.0001559185669698,64,9,4,"(512, 512, 256, 32)",()
116,82.291748046875,0.1190089005387833,3,0.000218729514014,64,9,4,"(512, 512, 256, 32)",()
143,82.34304809570312,0.1525438547779245,4,0.0002268223928225,64,9,4,"(512, 512, 256, 32)",()
66,82.37306213378906,0.1640533904932535,1,0.0002000675498485,64,9,4,"(512, 512, 256, 32)",()
79,82.37952423095703,0.1301860063660203,2,0.0002127796985574,64,7,7,"(512, 512, 256, 128, 256, 128, 128)",()
67,82.38700103759766,0.1915582774081858,2,0.0001299932754921,64,9,4,"(512, 512, 256, 32)",()
103,82.44947814941406,0.1426409193564169,3,0.0001723932141916,64,9,4,"(512, 512, 256, 32)",()
61,82.48665618896484,0.1803997552956691,1,0.0001681461352925,64,9,5,"(512, 512, 256, 32, 32)",()
90,82.60066986083984,0.1866860239334609,2,0.0002196988956733,64,9,5,"(64, 512, 256, 128, 32)",()
85,82.75039672851562,0.1445639650723476,2,0.0001535296362017,64,9,4,"(512, 512, 256, 32)",()
45,82.93648529052734,0.1003386498181997,4,0.0001179189599642,64,9,3,"(512, 512, 256)",()
57,82.97198486328125,0.1576890694265225,2,0.0001028095513527,64,9,4,"(512, 512, 256, 32)",()
149,83.93016815185547,0.167778254134786,3,0.0011323104835507,64,7,4,"(512, 512, 64, 32)",()
136,83.935546875,0.132574817900735,3,0.0001415618198889,64,9,4,"(512, 512, 256, 32)",()
138,83.99309539794922,0.1711949150436914,3,0.000165931740612,64,9,4,"(512, 512, 256, 32)",()
140,84.06702423095703,0.1824838027324087,3,0.0001928929016497,64,5,4,"(512, 512, 256, 32)",()
