train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,val_accuracy,lr
101.79141235351562,98.53003692626953,3.2614595890045166,83.36044311523438,80.27393341064453,3.08652663230896,0.8622708916664124,0.00015592903946526349
83.4485855102539,80.01190948486328,3.4366562366485596,81.9242935180664,77.90830993652344,4.01595401763916,0.8645924925804138,0.00015592903946526349
80.40364074707031,76.08455657958984,4.319151878356934,76.78693389892578,71.54949951171875,5.2374444007873535,0.8813298344612122,0.00015592903946526349
76.01028442382812,70.47631072998047,5.53402853012085,73.73043823242188,67.68720245361328,6.0432329177856445,0.8878863453865051,0.00015592903946526349
73.87323760986328,67.56022644042969,6.312925338745117,72.08792114257812,65.05085754394531,7.03707218170166,0.8907454609870911,0.00015592903946526349
72.2271957397461,65.02992248535156,7.1973185539245605,70.69526672363281,63.33646774291992,7.358781337738037,0.8921710252761841,0.00015592903946526349
70.6226577758789,62.50774002075195,8.114933013916016,68.4129409790039,59.78006362915039,8.632874488830566,0.8950778245925903,0.00015592903946526349
68.793701171875,59.76207733154297,9.031630516052246,66.74044036865234,57.57505416870117,9.165361404418945,0.8977097272872925,0.00015592903946526349
67.29890441894531,57.51802062988281,9.780860900878906,65.25971984863281,54.749977111816406,10.509750366210938,0.9020228981971741,0.00015592903946526349
66.07511138916016,55.75087356567383,10.324222564697266,63.83399963378906,53.221763610839844,10.612194061279297,0.9040545225143433,0.00015592903946526349
65.07474517822266,54.32918167114258,10.745528221130371,62.96300506591797,52.3399772644043,10.62306022644043,0.905454695224762,0.00015592903946526349
64.18598175048828,53.057403564453125,11.128585815429688,61.77788543701172,50.60719299316406,11.17072582244873,0.9084816575050354,0.00015592903946526349
63.484703063964844,52.0387077331543,11.445962905883789,61.09233856201172,49.29997634887695,11.792366981506348,0.9106504321098328,0.00015592903946526349
62.66358184814453,50.9367561340332,11.726786613464355,60.1009407043457,48.250606536865234,11.850341796875,0.9122781157493591,0.00015592903946526349
61.91475296020508,49.85847854614258,12.056258201599121,59.88457489013672,48.02968978881836,11.854879379272461,0.9123978018760681,0.00015592903946526349
61.174434661865234,48.801795959472656,12.372672080993652,58.73432922363281,46.16755294799805,12.56678581237793,0.9157974720001221,0.00015592903946526349
