trial_number,value,drop_rate,pool_size,learning_rate,batch_size,kernel_size,encoder_n_layers,encoder_filters,decoder_filters
100,85.6282730102539,0.1441417500611234,5,0.0009515245404011,128,9,5,"(128, 512, 256, 32, 64)",()
38,85.77474212646484,0.3125358035705723,6,0.0001569487317517,64,7,6,"(512, 64, 512, 64, 512, 32)",()
84,85.90433502197266,0.2954459575090227,2,0.0004803011734509,64,7,3,"(256, 128, 256)",()
35,85.92499542236328,0.1266577052525883,1,0.000260787369812,128,11,4,"(256, 64, 128, 512)",()
120,86.1015625,0.1305377629331493,4,0.0013459890469509,64,3,3,"(256, 64, 256)",()
60,86.23270416259766,0.1440833925266246,6,0.0011312100685849,128,5,5,"(256, 64, 64, 32, 64)",()
20,86.27104949951172,0.155022140346932,7,0.0001907440095632,128,3,7,"(128, 512, 256, 128, 512, 512, 128)",()
81,86.44641876220703,0.2630949748634659,2,0.0003911968365024,64,7,3,"(256, 128, 256)",()
75,86.49945068359375,0.2288857124899591,2,0.0004222572141161,128,5,4,"(64, 128, 32, 32)",()
80,86.54226684570312,0.2091196857290567,1,0.0005171537992648,64,3,3,"(256, 128, 256)",()
56,86.64202117919922,0.1200758998215376,4,0.0009115391172946,256,9,4,"(256, 32, 64, 128)",()
22,86.65601348876953,0.3349077672415649,4,0.0005851424417993,128,5,4,"(256, 64, 64, 32)",()
59,86.99369812011719,0.1626544863030059,4,0.0004990216967376,256,9,3,"(128, 512, 128)",()
10,87.07965850830078,0.183047536648607,4,0.0002203258466926,128,9,5,"(64, 128, 32, 32, 32)",()
58,87.21998596191406,0.2687186197010965,5,0.0002231496246703,128,11,6,"(512, 128, 256, 256, 128, 32)",()
98,87.37036895751953,0.1039768284935322,5,0.0013147520054792,256,9,5,"(128, 128, 128, 32, 64)",()
119,87.40664672851562,0.1515016274513943,5,0.0012057555560108,64,3,3,"(256, 64, 256)",()
143,87.50753021240234,0.1127380305030741,3,0.0012800219917096,64,3,3,"(256, 64, 256)",()
139,87.63272857666016,0.4506114086880071,4,0.0022798484858822,64,3,3,"(256, 64, 128)",()
50,87.92206573486328,0.1872113148345799,5,0.0007842146082341,256,3,3,"(128, 256, 32)",()
25,88.07264709472656,0.1341443267537515,4,0.0015778988107918,256,9,6,"(64, 128, 64, 512, 256, 32)",()
45,88.39358520507812,0.1655253935742281,4,0.0038469880169276,64,3,3,"(64, 128, 256)",()
21,88.70272827148438,0.265836702637975,2,0.0013323163904348,256,5,4,"(256, 64, 64, 32)",()
90,88.72928619384766,0.1450109839936114,5,0.0001942957240031,128,5,5,"(64, 128, 64, 128, 128)",()
79,88.85538482666016,0.2439968770670552,2,0.001241878498035,256,5,3,"(256, 128, 64)",()
14,88.92134857177734,0.1721726670637083,3,0.0009631947902292,256,3,3,"(64, 128, 32)",()
27,90.51651000976562,0.2934321918890358,2,0.0003765268129637,128,3,5,"(256, 64, 256, 128, 256)",()
23,90.72840881347656,0.2080137817054259,2,0.0003360180509284,256,7,3,"(256, 64, 32)",()
109,90.77877044677734,0.1807597221670753,4,0.0020993808630586,256,3,3,"(256, 64, 256)",()
108,91.224365234375,0.1497962707667074,4,0.0019753565525506,128,3,3,"(256, 64, 512)",()
136,91.95304107666016,0.1555208200625488,4,0.0017360715224233,64,3,3,"(256, 64, 256)",()
96,92.31500244140624,0.1218292348349738,2,0.0034005596710242,64,9,5,"(128, 64, 256, 32, 64)",()
1,92.33785247802734,0.4757995766256756,9,0.0015696396388661,64,11,5,"(256, 32, 128, 64, 512)",()
140,92.4930191040039,0.1002233861795033,4,0.0021087771757349,64,3,3,"(256, 64, 128)",()
8,92.53221130371094,0.3065201393204781,3,0.0038937887815945,128,5,4,"(256, 64, 256, 256)",()
48,92.70391082763672,0.2804931007110136,3,0.0002340008155098,256,3,3,"(64, 512, 512)",()
0,92.76671600341795,0.249816047538945,9,0.002910635913133,64,5,8,"(32, 256, 256, 256, 128, 64, 64, 256)",()
