Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_261,-6.562,-4.098,-6.562,OTHERS
ligand_262,-4.402,-3.589,-4.402,OTHERS
ligand_263,-5.425,-4.525,-5.425,OTHERS
ligand_264,-6.379,-5.038,-6.379,OTHERS
ligand_265,-5.76,-3.889,-5.76,OTHERS
ligand_266,-5.493,-3.731,-5.493,OTHERS
ligand_267,-5.45,-4.22,-5.45,OTHERS
ligand_268,-5.361,-4.842,-5.361,OTHERS
ligand_269,-4.641,-3.884,-4.641,OTHERS
ligand_26,-4.964,-4.416,-4.964,OTHERS
ligand_270,-4.856,-4.473,-4.856,OTHERS
ligand_271,-4.774,-4.045,-4.774,OTHERS
ligand_272,-5.238,-4.336,-5.238,OTHERS
ligand_273,-5.459,-3.783,-5.459,OTHERS
ligand_274,-4.353,-3.399,-4.353,OTHERS
ligand_275,-5.138,-3.98,-5.138,OTHERS
ligand_276,-5.972,-4.99,-5.972,OTHERS
ligand_277,-5.686,-3.8,-5.686,OTHERS
ligand_278,-4.743,-3.787,-4.743,OTHERS
ligand_279,-4.904,-3.709,-4.904,OTHERS
ligand_27,-5.54,-4.291,-5.54,OTHERS
ligand_280,-5.626,-4.455,-5.626,OTHERS
ligand_281,-5.071,-4.03,-5.071,OTHERS
ligand_282,-5.459,-4.148,-5.459,OTHERS
ligand_283,-5.209,-4.167,-5.209,OTHERS
ligand_284,-6.266,-4.517,-6.266,OTHERS
ligand_285,-4.407,-3.939,-4.407,OTHERS
ligand_286,-4.789,-3.749,-4.789,OTHERS
ligand_287,-5.053,-4.638,-5.053,OTHERS
ligand_288,-4.807,-3.904,-4.807,OTHERS
ligand_289,-5.729,-4.959,-5.729,OTHERS
ligand_28,-4.131,-3.458,-4.131,OTHERS
ligand_290,-4.881,-3.66,-4.881,OTHERS
ligand_291,-5.455,-4.096,-5.455,OTHERS
ligand_292,-5.344,-4.217,-5.344,OTHERS
ligand_293,-5.408,-4.624,-5.408,OTHERS
ligand_294,-4.859,-4.101,-4.859,OTHERS
ligand_295,-5.357,-4.777,-5.357,OTHERS
ligand_296,-5.502,-4.264,-5.502,OTHERS
ligand_297,-4.555,-4.034,-4.555,OTHERS
ligand_298,-4.914,-4.389,-4.914,OTHERS
ligand_299,-5.572,-4.412,-5.572,OTHERS
ligand_29,-5.411,-4.034,-5.411,OTHERS
ligand_2,-4.995,-3.643,-4.995,OTHERS
ligand_300,-5.773,-3.993,-5.773,OTHERS
ligand_301,-6.054,-3.865,-6.054,OTHERS
ligand_302,-6.014,-4.34,-6.014,OTHERS
ligand_303,-5.449,-4.133,-5.449,OTHERS
ligand_304,-5.29,-4.315,-5.29,OTHERS
ligand_305,-5.44,-4.06,-5.44,OTHERS
ligand_306,-5.461,-4.743,-5.461,OTHERS
ligand_307,-4.658,-3.949,-4.658,OTHERS
ligand_308,-4.887,-3.698,-4.887,OTHERS
ligand_309,-5.949,-4.473,-5.949,OTHERS
ligand_310,-4.909,-3.465,-4.909,OTHERS
ligand_311,-6.093,-4.263,-6.093,OTHERS
ligand_312,-3.784,-3.221,-3.784,OTHERS
ligand_313,-5.25,-3.843,-5.25,OTHERS
ligand_314,-5.04,-3.686,-5.04,OTHERS
ligand_315,-5.228,-3.973,-5.228,OTHERS
ligand_316,-5.043,-4.769,-5.043,OTHERS
ligand_317,-4.935,-4.494,-4.935,OTHERS
ligand_318,-4.472,-4.028,-4.472,OTHERS
ligand_319,-6.1,-4.559,-6.1,OTHERS
ligand_31,-5.505,-4.672,-5.505,OTHERS
ligand_320,-5.703,-4.087,-5.703,OTHERS
ligand_321,-5.088,-3.714,-5.088,OTHERS
ligand_322,-5.006,-4.802,-5.006,OTHERS
