# Time(ns) Rg(Å)
0.000 25.257
0.010 25.174
0.020 25.162
0.030 25.174
0.040 25.179
0.050 25.185
0.060 25.188
0.070 25.155
0.080 25.172
0.090 25.166
0.100 25.176
0.110 25.162
0.120 25.171
0.130 25.187
0.140 25.167
0.150 25.142
0.160 25.167
0.170 25.178
0.180 25.182
0.190 25.168
0.200 25.172
0.210 25.176
0.220 25.175
0.230 25.180
0.240 25.167
0.250 25.161
0.260 25.183
0.270 25.163
0.280 25.185
0.290 25.151
0.300 25.176
0.310 25.175
0.320 25.179
0.330 25.190
0.340 25.193
0.350 25.169
0.360 25.164
0.370 25.173
0.380 25.172
0.390 25.165
0.400 25.192
0.410 25.180
0.420 25.175
0.430 25.177
0.440 25.181
0.450 25.195
0.460 25.161
0.470 25.196
0.480 25.172
0.490 25.177
0.500 25.164
0.510 25.172
0.520 25.186
0.530 25.169
0.540 25.169
0.550 25.153
0.560 25.180
0.570 25.180
0.580 25.172
0.590 25.153
0.600 25.181
0.610 25.161
0.620 25.179
0.630 25.182
0.640 25.173
0.650 25.171
0.660 25.170
0.670 25.169
0.680 25.174
0.690 25.161
0.700 25.172
0.710 25.178
0.720 25.175
0.730 25.176
0.740 25.165
0.750 25.160
0.760 25.173
0.770 25.170
0.780 25.174
0.790 25.179
0.800 25.184
0.810 25.176
0.820 25.179
0.830 25.176
0.840 25.171
0.850 25.158
0.860 25.145
0.870 25.168
0.880 25.170
0.890 25.213
0.900 25.197
0.910 25.187
0.920 25.194
0.930 25.189
0.940 25.171
0.950 25.178
0.960 25.186
0.970 25.170
0.980 25.189
0.990 25.159
1.000 25.164
