predictor,rho_total,p_total,rho_partial_mw,p_partial_mw,n
H1_count,0.31236818418529616,0.005679084993533264,-0.021948178687531947,0.8507266886529758,77
H1_entropy,0.2544108609945816,0.025561586732088835,-0.10640519888942558,0.36027240923040116,77
H1_total_pers_prod,0.26274918222444954,0.020964310239224494,0.06972641055082829,0.5494958977448543,77
H1_total_pers_sum,0.3611518942778748,0.001251338638165722,0.053266569669760545,0.6476740737267543,77
H1_max_pers,0.06735101422421694,0.5605683287389823,0.2020517341299103,0.08005702473142284,77
