SMILES,aff_4gm2,aff_6ukj,aff_7f3y,aff_9n10,conf_4gm2,conf_6ukj,conf_7f3y,conf_9n10,standard_smiles,npl_score,sa_score,lipinski_rule,qed,syba_score,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
Br.COC(C)CN=C(N)NC1=CC=CC(C)=C1,-3.747,-7.049,-6.022,-4.732,-1.2,-1.21,-0.75,-1.69,Br.COC(C)CN=C(N)Nc1cccc(C)c1,-0.8152379335344235,3.010108114298376,4.0,0.6627402836867272,47.02125927561216,302.216,2.3344199999999997,2.0,2.0,4.0,0.6627402836867272,1.0,59.64,0.7412779569625855,0.8482805252075195,0.9546658635139466,0.4310029834508896,0.15788214951753615,0.047074366733431815,0.005644465843215585,0.6618890166282654,0.9331700444221497,0.43266260623931885,0.09122797660529613,0.1759747952222824,0.13571633994579316,0.06684281527996064,0.9990821361541748,0.0033483535749837755,0.01575839417055249,0.2951761670410633,0.008766126353293657,0.018617134355008603,0.19644964188337327,0.0012841536721680314,0.8226429700851441,0.08008085563778877,0.0393907468765974,0.02801484502851963,0.014711952302604914,0.006909884186461568,0.007999838516116142,0.6276522397994995,0.592336106300354,-5.022028046873816,24.458680862821222,11.00287726263971,9.197858928065466,-8.743760669164152,2.752003724436144,0.9618260476884986,46.68476639210847,-1.4745115876686925,6.319357378730798,41.13997673516867,50.21326095385808,16.38231872818922,60.85692128732067,63.803799922450565,69.13532376890268,54.80806514152773,38.037999224505626,93.33074835207445,61.30283055447848,91.08181465684373,81.19426134160527,57.85188057386584,17.177200465296625,23.768902675455603,92.71035284994184,97.94493989918573,44.97867390461419,54.051958123303606,54.051958123303606,57.77433113609926,15.08336564559907,66.88639007367196,24.505622334238076,37.533927879022876,86.85537029856533,36.64210934470725,51.41527723924001,79.4881737107406,28.69329197363319,56.960062039550216,48.42962388522683,26.560682435052346,72.9740209383482,51.066304769290426,29.662659945715394,34.39317564947654,68.82512601783637,67.89453276463746,47.731678945327644,37.49515316013959,41.76037223730128,53.005040713454825,59.01512214036448,64.71500581620784,41.48894920511826,19.73633191159364,76.65761923226057,81.46568437378829
C#CC(N=C(N)NC1=CC=C(Br)C=C1)C(C)C,-3.585,-6.427,-6.739,-4.763,-0.53,-1.15,-1.2,-1.58,C#CC(N=C(N)Nc1ccc(Br)cc1)C(C)C,-0.6030965241422644,3.3058181477431923,4.0,0.5114654692045165,50.32557217067,294.196,2.833500000000001,1.0,2.0,4.0,0.5114654692045165,1.0,50.41,0.3093022108078003,0.6675557315349578,0.9286441564559936,0.8093432188034058,0.2799699604511261,0.23275630176067352,0.0742592304944992,0.5205379486083984,0.8531812191009521,0.5222806513309479,0.3307275980710983,0.40165325403213503,0.043108942732214925,0.1468452513217926,0.9996087908744812,0.006690989527851343,0.027217360958456994,0.3507720947265625,0.02458078470081091,0.05277231633663178,0.30845675617456436,0.004464810562785715,0.8525083541870118,0.02245287299156189,0.1503488652408123,0.016301515232771634,0.036816108226776126,0.10259310007095337,0.014611569792032241,0.7540280938148498,0.3668372333049774,-4.923482012406921,18.984330586074613,7.514851950234461,25.356412862953626,-6.715266097644862,3.005740837768258,2.0781995526898633,72.80143745901105,-2.656494537554939,17.162660946448288,38.658394726638235,59.2865451725475,6.649864288483909,60.85692128732067,63.803799922450565,48.46839860411012,54.80806514152773,31.058549825513765,67.00271423032183,43.77665761923226,82.78402481582009,92.47770453664211,70.99651027530051,68.43737882900349,60.29468786351299,87.12679333074836,94.88173710740597,53.31523846452113,73.59441644048081,82.47382706475378,33.11360992632803,27.103528499418378,74.95153160139589,38.50329585110508,54.90500193873594,88.98797983714618,49.5153160139589,78.09228383094222,88.98797983714618,49.08879410624273,59.82939123691353,32.99728576967817,53.93563396665374,64.32725862737495,69.13532376890268,63.8231872818922,44.086855370298565,79.83714618069018,56.18456766188445,53.470337340054286,31.9115936409461,37.68902675455603,72.12097712291586,77.66576192322606,78.94532764637457,61.69057774331136,47.033734005428464,57.77433113609926,97.01434664598682
C#CC1=CC=C(CNCC(O)C2=CC=CC=C2)C=C1,-4.37,-8.568,-6.77,-4.917,-2.08,-1.69,-0.84,-1.37,C#Cc1ccc(CNCC(O)c2ccccc2)cc1,-0.8615388940599525,2.3890177487096107,4.0,0.8002096258338817,100.53966116229228,251.32900000000006,2.4911000000000003,2.0,2.0,4.0,0.8002096258338817,1.0,32.26,0.20470987409353256,0.3852598577737808,0.8462673783302307,0.6386570394039154,0.21114228665828705,0.25239781141281126,0.056037230789661406,0.41851221323013305,0.7179429531097412,0.2284806787967682,0.16069617941975595,0.4422664508223534,0.12757223024964331,0.07529468759894371,0.9972469925880432,0.02648591473698616,0.060871260985732076,0.04666897151619196,0.008488638093695045,0.03221245920285583,0.25404009222984314,0.004729122086428106,0.7131231188774109,0.04994279332458973,0.095496067404747,0.0026202236535027624,0.01246925089508295,0.04133552871644497,0.007810611580498517,0.7683858752250672,0.5000655949115753,-4.646793529031579,37.00441073608053,-20.311464244804,6.992140805381434,-8.675734751874192,2.53352670196411,2.0021517169421807,66.66832928643981,-2.5173053824699565,2.3782400055859894,27.413726250484682,53.005040713454825,16.38231872818922,60.85692128732067,63.803799922450565,89.2206281504459,54.80806514152773,16.149670414889492,52.69484296238852,23.264831329972857,59.90694067468011,86.9716944552152,64.8313299728577,71.6556804963164,55.60294687863513,81.65955796820474,90.96549050019388,26.366808840635905,62.93136874757658,85.3431562621171,56.61108956960062,16.401706087630863,54.749903063202794,73.74951531601396,78.09228383094222,59.9457153935634,36.1768127181078,66.57619232260566,85.0329585110508,49.63164017060876,47.38270647537805,42.57464133385033,43.0011632415665,35.905389685924774,48.08065141527724,51.72547499030632,34.121752617293524,80.72896471500582,63.629313687475765,70.91896083753393,50.7948817371074,9.034509499806127,49.63164017060876,59.63551764249709,50.601008142690965,59.9457153935634,39.433889104303994,60.37223730127957,57.03761147731679
C#CC=C1CN=CN(C(C=CCl)C=CCl)N=C1NCCO,-4.369,-7.175,-6.714,-5.015,-1.2,-0.78,-1.34,-2.09,C#CC=C1CN=CN(C(C=CCl)C=CCl)N=C1NCCO,0.07654074444032855,4.828762264499966,4.0,0.7552356191217316,-50.36675193038246,327.21500000000015,1.6588999999999998,5.0,2.0,4.0,0.7552356191217316,0.0,60.22,0.6730888843536377,0.6316917181015015,0.904623281955719,0.49232304096221924,0.33154829889535903,0.3115657776594162,0.1754830788820982,0.2256894588470459,0.2535085592418909,0.35131404995918275,0.5363131642341614,0.6103389501571655,0.2010232612490654,0.5029851794242859,0.9994820475578308,0.015050496673211455,0.011898932792246342,0.2575133182108402,0.12239226847887039,0.022148646507412197,0.07180417515337467,0.10280675925314427,0.8353702664375305,0.32049609422683717,0.607727587223053,0.05904783643782139,0.1198273591697216,0.2296106480062008,0.09074165597558022,0.8093985557556153,0.4688100218772888,-5.2542388971757905,-4.545936773733345,-0.9155924900964436,0.7809840773372667,-10.334159350198975,2.5757287867575105,1.8186807485565446,68.44580894584652,-2.4890626533310733,5.731494649017501,48.5459480418767,40.90732842186894,59.112058937572705,60.85692128732067,63.803799922450565,82.70647537805351,22.489336952307095,38.38697169445521,91.46956184567662,40.519581233036064,74.71888328809617,82.7452500969368,75.02908103916246,79.52694842962389,74.13726250484684,68.74757658006979,76.50252035672742,36.952307095773556,81.34936021713843,93.33074835207445,66.69251647925553,54.207056998836755,72.46994959286545,58.976347421481194,29.081039162466073,85.26560682435053,76.92904226444358,56.30089181853432,40.597130670802635,91.50833656455991,58.12330360604886,67.46801085692128,88.9492051182629,82.00853043815432,86.66149670414889,74.44746025591314,74.52500969367972,84.91663435440093,61.806901899961225,33.85032958511051,12.136487010469175,27.374951531601397,38.54207056998837,43.07871267933307,53.586661496704146,56.61108956960062,41.644048080651416,61.10895696006204,78.8290034897247
C#CCCNc1ccnc2cc(Cl)ccc21,-3.815,-6.942,-5.785,-4.52,-1.23,-1.05,-1.61,-1.11,C#CCCNc1ccnc2cc(Cl)ccc12,-1.4112602544792436,2.297273224512212,4.0,0.6464308331647451,66.23395183137833,230.69799999999998,3.323400000000002,2.0,1.0,4.0,0.6464308331647451,0.0,24.92,0.8427273154258728,0.9523606300354004,0.9260172367095947,0.9883481740951539,0.3748906314373016,0.2045770525932312,0.06370030678808689,0.4280069649219513,0.37915259003639223,0.6453874349594116,0.5048851370811462,0.3070778205990791,0.08478394821286202,0.8792520642280579,0.9999910116195678,0.1033380813896656,0.03761595077812672,0.8295202732086182,0.06824261136353016,0.034110094979405405,0.140981724858284,0.013922185264527797,0.9595971941947937,0.03578850496560335,0.6417726159095765,0.1129956603050232,0.1260966718196869,0.13191590011119841,0.40883108973503113,0.6197858870029449,0.2841095358133316,-4.064678246883019,87.31180218936453,55.71801878960066,121.42399590591147,-7.905656006520866,2.3904923475427067,2.640879712742021,89.2676047788391,-3.264662896568828,32.928923656100366,22.528111671190384,66.65374176037224,16.38231872818922,36.68088406359054,63.803799922450565,66.57619232260566,22.489336952307095,12.330360604885614,95.50213260953858,76.73516867002714,82.12485459480419,99.18573090345095,77.2004652966266,63.39666537417604,57.50290810391625,82.24117875145406,82.35750290810391,66.4598681659558,80.06979449398992,73.2842186894145,47.42148119426134,79.13920124079101,97.16944552151998,90.92671578131059,65.68437378829003,98.4102365257852,66.4598681659558,67.93330748352075,68.55370298565336,66.26599457153935,83.28809616130283,38.658394726638235,90.2287708414114,89.53082590151222,87.32066692516479,67.27413726250485,93.75727025979062,68.28227995347034,49.82551376502521,97.82861574253586,86.07987592089957,80.96161302830555,96.85924777045366,67.15781310585498,41.178751454051955,72.81892206281505,72.19852656068244,45.40519581233036,99.18573090345095
C#CCN(CC#C)Cc1cc2c(c(OC)c1)OCO2,-4.451,-7.276,-5.695,-5.083,-1.7,-1.02,-1.22,-1.7,C#CCN(CC#C)Cc1cc(OC)c2c(c1)OCO2,-0.4173466196394,2.8939079178834923,4.0,0.7478528249071149,75.06078228411528,257.289,1.4923000000000002,4.0,0.0,4.0,0.7478528249071149,0.0,30.930000000000003,0.2799919664859772,0.971677839756012,0.7558505833148956,0.9337762594223022,0.6542276203632355,0.07379832118749619,0.1876701071858406,0.3031096711754799,0.9208534955978394,0.42590723037719724,0.6138602733612061,0.06880013947375119,0.09528807550668716,0.19137971699237824,0.9999102354049683,0.005605588061735034,0.007783288951031864,0.0856194544583559,0.006654459377750754,0.005605747085064649,0.03560892716050148,0.003530057205352932,0.9580505847930908,0.02436217712238431,0.10468943119049072,0.01374113728525117,0.01629576375707984,0.0061071788426488634,0.01352530475705862,0.7859018683433533,0.3525849461555481,-4.2342695788813085,88.75185931511297,34.01487662388247,0.9086388661607636,-4.9791847921220045,2.479604478705052,1.9743528191931101,75.14346032843524,-3.1372344056642634,6.9164758538002875,29.11981388134936,38.4257464133385,46.47150058162078,11.768127181077936,63.803799922450565,81.89220628150446,22.489336952307095,16.013958898797984,63.97828615742536,82.51260178363707,43.77665761923226,96.47150058162079,89.41450174486235,26.63823187281892,75.14540519581233,74.9127568825126,97.28576967816983,44.35827840248158,84.0635905389686,27.413726250484682,50.25203567274137,32.06669251647926,85.96355176424971,34.31562621170997,20.16285381930981,69.13532376890268,33.77278014734393,23.885226832105467,15.548662272198527,44.125630089181854,82.66770065917022,33.81155486622722,45.67661884451338,61.5742535866615,53.70298565335401,28.49941837921675,43.0011632415665,82.59015122140364,55.09887553315239,93.87359441644048,86.54517254749904,65.25785188057387,38.69716944552152,89.10430399379605,46.490887941062425,59.557968204730514,49.82551376502521,48.08065141527724,83.63706863125242
C#CCSCCNc1ccnc2cc(Cl)ccc21,-4.128,-6.612,-5.619,-4.906,-0.82,-0.88,-1.69,-0.99,C#CCSCCNc1ccnc2cc(Cl)ccc12,-1.7297264097955503,2.594065425991916,4.0,0.6662711618099739,73.76106710468677,276.79200000000003,3.666500000000002,3.0,1.0,4.0,0.6662711618099739,0.0,24.92,0.832898485660553,0.9577290892601014,0.9257968068122864,0.9941645622253418,0.596180534362793,0.253933972120285,0.17739076539874077,0.41754367351531985,0.4987212628126144,0.6740909218788147,0.6753962993621826,0.3066515952348709,0.10831025838851929,0.8901015281677246,0.9999883651733399,0.09611473605036736,0.01850176155567169,0.8198078155517579,0.14999554306268692,0.04092168845236301,0.17423598021268843,0.05203505083918571,0.9580554962158203,0.06410487927496433,0.7010832190513611,0.15187679529190062,0.19762622714042663,0.3059466749429703,0.5020350754261017,0.680441951751709,0.46331900358200073,-4.312010185875769,100.70568592440793,63.16332686083393,124.76805475151312,-8.240697180447912,2.5767808498821116,2.7646690150307394,90.78040313099014,-3.707810601427851,38.75173118274724,33.927879022877086,72.3536254362156,31.17487398216363,36.68088406359054,63.803799922450565,69.56184567661884,22.489336952307095,12.330360604885614,95.38580845288871,78.01473439317564,82.0860798759209,99.84490112446684,87.74718883288097,71.73322993408298,74.17603722373013,81.58200853043816,85.49825513765025,69.67816983326871,86.11865063978286,73.24544397053121,52.966265994571536,80.03101977510663,96.39395114385421,90.50019387359441,42.45831717720046,98.25513765025204,80.41876696393952,71.77200465296626,75.68825126017836,84.41256300891818,82.66770065917022,46.18069018999612,92.55525397440869,91.74098487785963,91.93485847227608,78.36370686312524,95.92865451725476,73.98216362931369,61.5742535866615,90.8879410624273,90.42264443582783,84.29623885226832,97.01434664598682,63.90073671965878,53.625436215587435,75.33927879022878,74.75765800697945,37.417603722373016,99.49592865451726
C#CC[C@H](C)Oc1c(OC)c([O-])cc2oc(-c3ccc(OC)cc3)cc(=O)c21,-4.871,-10.58,-7.1,-5.308,-1.86,-2.11,-0.89,-1.82,C#CC[C@H](C)Oc1c(OC)c([O-])cc2oc(-c3ccc(OC)cc3)cc(=O)c12,0.34809429523346785,3.534385171795039,4.0,0.6112377152073911,67.68769676555355,379.38800000000015,3.341400000000002,6.0,0.0,4.0,0.6112377152073911,1.0,80.96000000000001,0.3937328279018402,0.6343399047851562,0.8314881443977356,0.7118982315063477,0.5145933270454407,0.33009397983551025,0.5187680900096894,0.2991871923208237,0.25416662991046907,0.7111169695854187,0.9318732738494873,0.12997552268207074,0.09136679694056511,0.8659777402877807,0.9988964796066284,0.06141127087175846,0.1281996861100197,0.6962057113647461,0.24236899018287658,0.08680592142045498,0.14966886788606643,0.05248250141739845,0.9131315231323243,0.9181532382965087,0.5675568044185638,0.16374039500951768,0.08960812985897064,0.21827936619520188,0.10512672811746597,0.19581624269485473,0.7142049908638001,-4.217843753807244,59.7248521182119,4.83720998001332,34.46038255425448,-6.466499360696835,2.700602984261097,3.0269472977222303,88.12534669176151,-6.03179667628984,5.65696074492898,60.41101202016285,66.84761535478867,69.50368359829392,11.768127181077936,63.803799922450565,61.768127181077936,54.80806514152773,54.672353625436216,75.68825126017836,40.67468010856921,56.41721597518418,89.45327646374564,84.49011244668476,81.46568437378829,90.73284218689415,74.44746025591314,76.50252035672742,74.87398216362931,96.20007754943776,45.09499806126406,48.89492051182629,77.78208607987592,65.06397828615742,86.62272198526561,88.98797983714618,96.35517642497092,88.09616130283055,86.19620007754943,70.91896083753393,84.56766188445134,69.67816983326871,95.07561070182241,86.89414501744862,92.47770453664211,83.52074447460257,73.9433889104304,76.07599844901125,19.891430787126794,73.24544397053121,94.41644048080651,70.18224117875145,34.31562621170997,79.1779759596743,79.91469561845676,61.69057774331136,81.426909654905,70.06591702210159,5.195812330360605,78.44125630089182
C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,-4.6,-9.945,-7.462,-5.166,-1.79,-1.38,-0.83,-1.41,C#C[C@@H](CC)Oc1ccc([C@@H]2CC(=O)c3ccccc3O2)cc1,0.6218433623781826,3.2341859858024584,4.0,0.7947970730097055,40.93559228393138,306.36100000000005,4.183700000000003,3.0,0.0,4.0,0.7947970730097055,2.0,35.53,0.33851837515830996,0.8348651885986328,0.9207562208175659,0.859892201423645,0.8106174468994141,0.5289574146270752,0.682965236902237,0.4569247364997864,0.3658789187669754,0.7471616268157959,0.8150987386703491,0.15679860934615136,0.06522424668073654,0.4521669507026672,0.9999754667282105,0.03994478899985552,0.17293700873851775,0.3626327306032181,0.1291312113404274,0.08227923586964607,0.6074957132339478,0.06279780939221383,0.9725763440132141,0.5139739990234375,0.48082166314125063,0.1734750673174858,0.0592994824051857,0.3077739328145981,0.08555257916450501,0.27972790598869324,0.3756788671016693,-4.466280636923571,110.12894361585168,29.778600473628835,30.74247579115967,-4.670379783066865,2.7000876091612915,3.9941090737196703,95.13313144489874,-5.507523696283846,7.717741984393408,42.45831717720046,79.91469561845676,31.17487398216363,11.768127181077936,63.803799922450565,88.290034897247,68.86390073671966,18.185343156262118,70.18224117875145,59.402869329197365,80.41876696393952,93.7960449786739,94.53276463745638,94.41644048080651,94.26134160527336,83.48196975571928,81.93098100038775,80.1473439317565,91.23691353237689,50.40713454827453,41.721597518417994,51.221403644823575,93.44707250872432,81.27181077937185,91.12058937572702,89.18185343156262,77.93718495540908,85.57580457541683,96.16130283055448,86.81659557968204,88.9104303993796,76.15354788677782,82.62892594028693,92.86545172547498,77.43311360992632,78.44125630089182,73.63319115936409,32.76463745637844,56.533540131834044,82.47382706475378,92.86545172547498,61.806901899961225,76.11477316789453,90.30632027917798,61.69057774331136,95.23070957735557,82.93912369135323,8.646762310973246,86.11865063978286
C#C[C@H](CC)Oc1cc(O)cc2oc3c(O)cccc3c(=O)c12,-4.693,-8.287,-7.758,-5.929,-2.45,-1.62,-0.64,-1.61,C#C[C@H](CC)Oc1cc(O)cc2oc3c(O)cccc3c(=O)c12,1.3754656432586825,3.374351978508578,4.0,0.5736211960024451,23.94110632199008,310.30500000000006,3.1480000000000015,5.0,2.0,4.0,0.5736211960024451,1.0,79.9,0.7944384694099427,0.34754422307014465,0.4420423850417137,0.96640704870224,0.5310644090175629,0.18824635297060013,0.5043846011161804,0.16045709773898126,0.6409743040800094,0.5626124799251556,0.868138062953949,0.051363862492144106,0.0469480998814106,0.8006041765213012,0.9997678875923157,0.09157909862697125,0.1341626837849617,0.9021824121475219,0.40360254645347593,0.7122113108634949,0.6970630645751953,0.14430526942014693,0.8962139248847961,0.595562356710434,0.8689115285873413,0.5000549733638764,0.3843986213207245,0.8521935820579529,0.5794084370136261,0.7321227431297302,0.5266420185565949,-4.7487134071908965,110.57460752843447,30.664143902041737,-1.9679707903195094,-8.461196641952423,2.7657782002889206,3.2407974145169023,95.72609653716941,-4.729249323991432,0.3629471016032574,43.77665761923226,63.78441256300892,59.112058937572705,60.85692128732067,63.803799922450565,57.38658394726638,54.80806514152773,53.23768902675456,94.64908879410625,20.860798759208997,15.975184179914695,97.94493989918573,85.07173322993408,59.364094610314076,90.34509499806127,60.37223730127957,89.2206281504459,56.84373788290035,93.52462194649088,20.822024040325708,34.703373400542844,71.6944552151997,79.52694842962389,90.15122140364483,89.10430399379605,99.06940674680108,94.84296238852268,98.33268708801862,96.97557192710353,93.40829778984103,66.30476929042264,79.52694842962389,97.86739046141915,98.83675843350136,95.88987979837147,96.58782473827064,97.28576967816983,78.59635517642496,65.33540131834044,64.71500581620784,93.05932531989143,62.388522683210546,32.880961613028305,61.8844513377278,65.56804963164016,85.53702985653354,83.83094222566886,18.14656843737883,39.860411012020165
