threshold,n_edges,n_nodes,centrality_PfDHFR,centrality_PfCRT_imputed,mean_centrality
400,578,562,1.0,0.14191986035199886,0.14191986035199886
700,145,148,1.0,0.15047515053087218,0.15047515053087218
900,18,19,1.0,0.24341804397744515,0.24341804397744515
