predictor,rho_total,p_total,rho_partial_mw,p_partial_mw,n
H1_count,0.23989733925596268,6.75783882816162e-08,-0.0179864373981423,0.6903484908713642,494
H1_entropy,0.23384241662263255,1.4618210142040313e-07,-0.07069485837287075,0.11696098917649872,494
H1_total_pers_prod,0.16378243852862281,0.00025644161891620485,-0.008416017546791396,0.8521351193733906,494
H1_total_pers_sum,0.2361438859295942,1.092934320861336e-07,-0.031228038313833393,0.48907323609422326,494
H1_max_pers,-0.017322761439108606,0.7009257776766837,0.0005339523423234545,0.9905647788280569,494
