method,n_unique,front_size,hv,igd,spread
random,20,8,13.845358691995788,0.1303754167234562,1.2342438321053104
greedy,1,1,16.588967085645653,0.614095233739662,
ga,19,8,15.488134565469615,0.07747710191463368,1.0189390308256132
baselines_pooled,40,11,15.52290008132745,0.07263301965484174,0.9032621157936604
mcts_canon,4,4,18.988000318383666,0.49202497393571343,0.6703272669739467
