candidate_id,target,complex_name,rank1_sdf,rank1_sdf_sha256,rank1_valid,rank1_atom_count,rank1_confidence_file,rank1_confidence_sdf_sha256,rank1_confidence_valid,rank1_confidence_atom_count,rank1_confidence_coordinate_count,diffdock_rank1_confidence,grid_status,grid_inside_fraction,min_receptor_distance_A,vina_score_only_status,consensus_status,rrs_pns_status
PP-14,PfCRT,PP-14_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-14_PfCRT/rank1.sdf,c8e08b577bfecc918407df2bbdb16dc9584286236efb721225d9486f66d0cbd1,True,13,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-14_PfCRT/rank1_confidence-0.28.sdf,c8e08b577bfecc918407df2bbdb16dc9584286236efb721225d9486f66d0cbd1,True,13,13,-0.28,OUTSIDE_GRID,0.0,3.1655887430302916,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-14,PfClpP,PP-14_PfClpP,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-14_PfClpP/rank1.sdf,43bf5d312ab20e43e98b43297971f331739f62476bc1ab426fe8c86bf8352cb0,True,13,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-14_PfClpP/rank1_confidence-0.26.sdf,43bf5d312ab20e43e98b43297971f331739f62476bc1ab426fe8c86bf8352cb0,True,13,13,-0.26,OUTSIDE_GRID,0.0,2.2719658206055855,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-14,PfATP4,PP-14_PfATP4,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-14_PfATP4/rank1.sdf,0d07be2deff73a3ccf1bea04d1dfa06a0a8107a0c6927a265c2306c4ec1d6869,True,13,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-14_PfATP4/rank1_confidence-0.79.sdf,0d07be2deff73a3ccf1bea04d1dfa06a0a8107a0c6927a265c2306c4ec1d6869,True,13,13,-0.79,OUTSIDE_GRID,0.0,2.206912583225714,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-15,PfDHFR,PP-15_PfDHFR,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfDHFR/rank1.sdf,deac925bef1c9aa3970d6d48d764623862bb8100aa076a1f70b340171ab556fb,True,23,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfDHFR/rank1_confidence-1.26.sdf,deac925bef1c9aa3970d6d48d764623862bb8100aa076a1f70b340171ab556fb,True,23,23,-1.26,OUTSIDE_GRID,0.0,0.7043244280869442,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-15,PfCRT,PP-15_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfCRT/rank1.sdf,158711955434e9223e11b86b4b4e89b46b2ae8f76fa7c9eac3a76adf31e6dfb4,True,23,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfCRT/rank1_confidence-0.73.sdf,158711955434e9223e11b86b4b4e89b46b2ae8f76fa7c9eac3a76adf31e6dfb4,True,23,23,-0.73,IN_GRID,1.0,2.0048394274854053,NOT_RUN_PENDING_RESCORING_GATE,NOT_COMPUTED,NOT_UPDATED
PP-15,PfClpP,PP-15_PfClpP,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfClpP/rank1.sdf,d2f6137682f25d91d7f3aace8d39160aea933997b5620c001d17b8281c7e3d12,True,23,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfClpP/rank1_confidence-0.53.sdf,d2f6137682f25d91d7f3aace8d39160aea933997b5620c001d17b8281c7e3d12,True,23,23,-0.53,PARTIAL_GRID,0.17391304347826086,1.7881675928167367,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-15,PfATP4,PP-15_PfATP4,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfATP4/rank1.sdf,264961afb87bb6b92baa7531df5ca6c702c6d6cd3de468aa3410c506ad222250,True,23,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-15_PfATP4/rank1_confidence-0.86.sdf,264961afb87bb6b92baa7531df5ca6c702c6d6cd3de468aa3410c506ad222250,True,23,23,-0.86,OUTSIDE_GRID,0.0,2.472340765347699,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-16,PfDHFR,PP-16_PfDHFR,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfDHFR/rank1.sdf,70c6299748e4759a6e560f3564418542b3d0ca32dfdafe7d7d995065af72bca2,True,17,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfDHFR/rank1_confidence-0.65.sdf,70c6299748e4759a6e560f3564418542b3d0ca32dfdafe7d7d995065af72bca2,True,17,17,-0.65,IN_GRID,1.0,2.450449152706499,NOT_RUN_PENDING_RESCORING_GATE,NOT_COMPUTED,NOT_UPDATED
PP-16,PfCRT,PP-16_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfCRT/rank1.sdf,af922ef8665c6ce2e3b8fe86ad635abf101088301a2b64db894d0b4d3159928a,True,17,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfCRT/rank1_confidence-1.04.sdf,af922ef8665c6ce2e3b8fe86ad635abf101088301a2b64db894d0b4d3159928a,True,17,17,-1.04,PARTIAL_GRID,0.058823529411764705,2.0253386037894776,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-16,PfClpP,PP-16_PfClpP,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfClpP/rank1.sdf,5db11cd535b54d5ea4a1ecf7a6152d688a4c1a971fb2d0c70686f93406628a8e,True,17,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfClpP/rank1_confidence-0.65.sdf,5db11cd535b54d5ea4a1ecf7a6152d688a4c1a971fb2d0c70686f93406628a8e,True,17,17,-0.65,OUTSIDE_GRID,0.0,2.383473459050887,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-16,PfATP4,PP-16_PfATP4,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfATP4/rank1.sdf,6a49b2c79921f7bb94954b47eac9542f9fb9a0d64a6d5b1dd8f4da3080e9ab07,True,17,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-16_PfATP4/rank1_confidence-1.06.sdf,6a49b2c79921f7bb94954b47eac9542f9fb9a0d64a6d5b1dd8f4da3080e9ab07,True,17,17,-1.06,OUTSIDE_GRID,0.0,2.95380116121583,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-17,PfDHFR,PP-17_PfDHFR,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfDHFR/rank1.sdf,27d12ceaca84fac80620b6b64c8d9047b128c3ca116721e1094ea594fe64eae9,True,12,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfDHFR/rank1_confidence-1.46.sdf,27d12ceaca84fac80620b6b64c8d9047b128c3ca116721e1094ea594fe64eae9,True,12,12,-1.46,OUTSIDE_GRID,0.0,3.080363793450376,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-17,PfCRT,PP-17_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfCRT/rank1.sdf,2cf049987cc123832a66ef759765e34433ba4600af61ff97e1858dcb678ff52d,True,12,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfCRT/rank1_confidence-1.35.sdf,2cf049987cc123832a66ef759765e34433ba4600af61ff97e1858dcb678ff52d,True,12,12,-1.35,OUTSIDE_GRID,0.0,3.1303326500549478,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-17,PfClpP,PP-17_PfClpP,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfClpP/rank1.sdf,247709bdc955420559d79852d83859d552b082377fc246bb5143eb374bc56bc7,True,12,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfClpP/rank1_confidence-0.70.sdf,247709bdc955420559d79852d83859d552b082377fc246bb5143eb374bc56bc7,True,12,12,-0.7,OUTSIDE_GRID,0.0,1.9549629510555944,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-17,PfATP4,PP-17_PfATP4,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfATP4/rank1.sdf,aadf7c843ff548c0f965f91f8c2075be8af0ebb5de66bcfd88f3a10c29a43c44,True,12,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-17_PfATP4/rank1_confidence-0.72.sdf,aadf7c843ff548c0f965f91f8c2075be8af0ebb5de66bcfd88f3a10c29a43c44,True,12,12,-0.72,OUTSIDE_GRID,0.0,1.9951843273241594,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
