partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
canonical_random,GIN-TNE,native,0,0,0.9013730614210962,0.8990168401801021,0.9597654891600375,0.9019542341740437,0.7912486494829449,3968
canonical_random,GIN-TNE,native,0,1,0.8934039417254627,0.893798112170088,0.957652781963118,0.9014403625182068,0.7530545749394364,3967
canonical_random,GIN-TNE,native,0,2,0.8852367460642205,0.8840490060138552,0.9507902218751445,0.8925092374874034,0.778725024172298,3967
canonical_random,GIN-TNE,native,0,3,0.8822751363950186,0.8951181255046963,0.9585350635256189,0.8933467067870278,0.7749187173275532,3967
canonical_random,GIN-TNE,native,0,4,0.9030237430315227,0.8866903608313145,0.9539430425387299,0.8972173073829821,0.7371161319541841,3967
canonical_random,GIN-TNE,native,1,0,0.8892095893811651,0.8851468848073263,0.9537776612307318,0.8940076781839426,0.7748057827854093,3968
canonical_random,GIN-TNE,native,1,1,0.8941179048067409,0.8948551521526628,0.9573527835858958,0.9037380086007277,0.7831539005057588,3967
canonical_random,GIN-TNE,native,1,2,0.8909209694593987,0.8941459209911173,0.9568765211099983,0.894868794918937,0.7777229363232607,3967
canonical_random,GIN-TNE,native,1,3,0.8986693720262502,0.8954744012707723,0.9584037845477023,0.9025078890549743,0.7854939316906796,3967
canonical_random,GIN-TNE,native,1,4,0.8867332068961824,0.874581301266522,0.9491725067475353,0.8889627659574468,0.7596181175358069,3967
canonical_random,GIN-TNE,native,2,0,0.8821602828895498,0.8811322602220242,0.9504467453801319,0.8891146097850009,0.7816175335699953,3968
canonical_random,GIN-TNE,native,2,1,0.8995731737360584,0.8892360889753069,0.9566812911109458,0.8968935888962326,0.7683666300097751,3967
canonical_random,GIN-TNE,native,2,2,0.8951638703346911,0.8977193038378173,0.9580683280439116,0.9003051881993896,0.8047783121360874,3967
canonical_random,GIN-TNE,native,2,3,0.8936645806075318,0.8856666905733351,0.9537542254679248,0.8990408063729475,0.7535679042351991,3967
canonical_random,GIN-TNE,native,2,4,0.8905340457384749,0.8894120686174507,0.9551906041460603,0.8832785751340135,0.7944673992732373,3967
canonical_random,GIN-TNE,native,3,0,0.8944296623790053,0.8899660939312617,0.9552827687196088,0.9007057278844576,0.7684159078047024,3968
canonical_random,GIN-TNE,native,3,1,0.9067368063804513,0.8882688650176379,0.9553191088204531,0.8950114118030649,0.7487048894449403,3967
canonical_random,GIN-TNE,native,3,2,0.9114401567744492,0.893614329657019,0.956942926308022,0.891659646166807,0.7807668860767563,3967
canonical_random,GIN-TNE,native,3,3,0.8945957489391949,0.901787753941944,0.9613110402222009,0.892328861369109,0.8056597045135789,3967
canonical_random,GIN-TNE,native,3,4,0.8945631572983942,0.8934909778889881,0.9587073803758166,0.8956025511916751,0.7840145405669598,3967
canonical_random,GIN-TNE,native,4,0,0.8853644875447741,0.9000307029991023,0.9589870326677019,0.9093311312964493,0.7929155733909554,3968
canonical_random,GIN-TNE,native,4,1,0.8963100102954824,0.8880417516681542,0.9558271673009047,0.8960716061660865,0.7704084919142336,3967
canonical_random,GIN-TNE,native,4,2,0.8874750032977179,0.8948153077053849,0.9586505324328245,0.8903970139124533,0.786316885545497,3967
canonical_random,GIN-TNE,native,4,3,0.9018597164537798,0.8855039924136173,0.9504930838578178,0.9045127534336167,0.7713330491096094,3967
canonical_random,GIN-TNE,native,4,4,0.888855909819878,0.8944517271239747,0.9581627364842834,0.8986083499005965,0.7748695758425772,3967
