smiles,max_sim_to_stoned,stoned_unreachable
COc1cc(C)c(-c2ccc3c(c2O)[C@H](C)N[C@H](C)C3)c2cccc(O)c12,0.273972602739726,1
COc1cc(C)cc2c(-c3c(O)ccc4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,0.2111111111111111,1
COc1cc(C)cc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5ccc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,0.21686746987951808,1
COc1cccc2c(-c3cc(-c4cc(-c5c(C)cc(OC)c6c(OC)cccc56)c(O)c5c4C[C@@H](C)N[C@@H]5C)c4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12,0.24324324324324326,1
COc1cc([C@H](O)c2cc3c(cc2O)[C@@H](C)N[C@H](C)C3)cc2ccc(-c3ccc4c(-c5ccc6c(c5O)[C@@H](C)N[C@H](C)C6)c(CO)cc(OC)c4c3O)c(O)c12,0.20754716981132076,1
O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(=O)c4oc(O)c5c(c(O)c(=O)c6oc(O)c3c4c56)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21,0.1485148514851485,1
C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C,0.1927710843373494,1
C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C,0.17073170731707318,1
C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,0.17105263157894737,1
CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12,0.1791044776119403,1
COC(=O)C1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C,0.21428571428571427,1
CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,0.16666666666666666,1
CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,0.17567567567567569,1
C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,0.1836734693877551,1
COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,0.23943661971830985,1
CC(C)=CCC1C(=O)c2c(cc3c(O)c(C)cc(O)c3c2O)C(CC=C(C)C)(CC=C(C)C)C1=O,0.17721518987341772,1
CC1(C)C=Cc2c(c(O)cc3c2OC[C@@H]2c4ccc5c(c4O[C@H]32)OCO5)O1,0.1978021978021978,1
CC1(C)C=Cc2c(c(O)cc3c2OCC(c2ccc4c(c2O)OCO4)C3=O)O1,0.19387755102040816,1
CC1(C)C=Cc2c(cc3c(c2O)C(=O)C(c2ccc4c(c2O)OCO4)CO3)O1,0.1839080459770115,1
COc1ccc(C2COc3c4c(cc(O)c3C2=O)O[C@](C)(CCC=C(C)C)C=C4)c(O)c1O,0.22857142857142856,1
COc1ccc(C2COc3cc4c(c(O)c3C2=O)C=C[C@@](C)(CCC=C(C)C)O4)c(O)c1O,0.23,1
COc1ccc(C2COc3c(ccc4c3C=C[C@@](C)(CCC=C(C)C)O4)C2)c(O)c1O,0.22549019607843138,1
C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4C2C3=O)O1,0.25,1
C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,0.21176470588235294,1
COc1cc(O)c(-c2c(C)cc(OC)c3c(OC)cccc23)c2c1[C@H](C)N[C@@H](C)C2,0.22727272727272727,1
COc1cc(OC)c(-c2ccc(OC)c3c(OC)cc(C)cc23)c2c1CN[C@@H](C)C2,0.2235294117647059,1
COc1cc(OC)c2c(OC)cc(C)c(-c3c(OC)cc(OC)c4c3C[C@H](C)N(C)[C@@H]4C)c2c1,0.22,1
COc1cc(OC)c2c(c1-c1ccc(OC)c3c(OC)cccc13)C[C@H](C)N(C)[C@@H]2C,0.2753623188405797,1
COc1cc(OC)c2c(c1-c1c(C)cc(OC)c3c(OC)cccc13)C[C@H](C)N(C)[C@@H]2C,0.2328767123287671,1
c1ccc2nc3c(cc2c1)[nH]c1ccccc13,0.27586206896551724,1
Cn1c2c3ccccc3nc-2c(-n2c3ccccc3c3nc4ccccc4cc32)c2ccccc21,0.2459016393442623,1
CN1C2=CC(=O)c3ccccc3N[C@@H]2c2ccccc21,0.32,1
Cn1cc2c3ccccc3nc-2c2ccccc21,0.2553191489361702,1
Cn1c2nc3ccccc3c-2cc2ccccc21,0.28,1
CN1c2ccccc2C(c2c3nc4ccccc4c-3n(C)c3ccccc23)=C2N=C3CC=CC[C@H]3[C@@H]21,0.2676056338028169,1
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(\C=O)CC=O,0.15384615384615385,1
C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC=O,0.1702127659574468,1
C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC(OCC)OCC,0.18518518518518517,1
C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1[C@@H]1C=C(C=O)C[C@H](O)OO1,0.1864406779661017,1
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,0.17567567567567569,1
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,0.1927710843373494,1
COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)C2C2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(OC)cc2)cc1,0.2619047619047619,1
COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)C2C2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)cc1,0.25,1
C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@H]1C(C)(C)CCC[C@]21C,0.15584415584415584,1
C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@@]1(O)C(C)(C)CCC[C@]21C,0.16091954022988506,1
COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@H]21,0.2,1
COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@@]12O,0.2087912087912088,1
C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@@]1(O)[C@@](C)(C(=O)O)CCC[C@]21C,0.18181818181818182,1
COc1ccc([C@@H]2CC(=O)c3c(O)c4c(c(CC=C(C)C)c3O2)OC(C)(C)C=C4)cc1,0.22916666666666666,1
COc1cc(O)c(OC)c(O)c1C(=O)C=Cc1ccccc1,0.3484848484848485,1
COc1cc(O)c(C(=O)C=Cc2ccccc2)c(OC)c1,0.3333333333333333,1
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,0.23943661971830985,1
COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1,0.34,1
COc1cc(O)c(C(=O)C=Cc2ccccc2)c(O)c1OC,0.3484848484848485,1
COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1,0.35294117647058826,1
