model,fold,seed,test_auc,split
GIN-TFP,0,0,0.8503243197492645,scaffold
GIN-TFP,0,1,0.8017861198958642,scaffold
GIN-TFP,0,2,0.7885346749055782,scaffold
GIN-TFP,0,3,0.7837761483833184,scaffold
GIN-TFP,0,4,0.7923107257047484,scaffold
GIN-TFP,1,0,0.8054033581823254,scaffold
GIN-TFP,1,1,0.7897631160043723,scaffold
GIN-TFP,1,2,0.7786759683871597,scaffold
GIN-TFP,1,3,0.8264700876902269,scaffold
GIN-TFP,1,4,0.8049067497353599,scaffold
GIN-TFP,2,0,0.8755815265736401,scaffold
GIN-TFP,2,1,0.8082981227450754,scaffold
GIN-TFP,2,2,0.8310035509889713,scaffold
GIN-TFP,2,3,0.8043854203301593,scaffold
GIN-TFP,2,4,0.8054402427637721,scaffold
GIN-TFP,3,0,0.7865950662633739,scaffold
GIN-TFP,3,1,0.8332912553712852,scaffold
GIN-TFP,3,2,0.8353367797630997,scaffold
GIN-TFP,3,3,0.8462760017471855,scaffold
GIN-TFP,3,4,0.866650054819097,scaffold
GIN-TFP,4,0,0.7885068019669914,scaffold
GIN-TFP,4,1,0.7468172151270743,scaffold
GIN-TFP,4,2,0.8400314332479712,scaffold
GIN-TFP,4,3,0.8486861477693802,scaffold
GIN-TFP,4,4,0.803598222796175,scaffold
