centroid_id,vina_score,exhaustiveness,tag
291,-9.51,64,original
292,-8.31,64,original
293,-8.66,64,original
294,-8.291,64,original
295,-9.332,64,original
296,-8.262,64,original
297,-8.608,64,original
298,-8.828,64,original
299,-7.756,64,original
300,-7.024,64,original
301,-5.889,64,original
302,-8.752,64,original
303,-7.389,64,original
304,-8.035,64,original
305,-8.574,64,original
306,-8.862,64,original
307,-6.703,64,original
308,-8.982,64,original
309,-8.928,64,original
310,-8.811,64,original
311,-8.336,64,original
312,-10.561,64,original
313,-10.625,64,original
314,-10.32,64,original
315,-8.658,64,original
316,-6.75,64,original
317,-4.942,64,original
318,-6.591,64,original
319,-5.975,64,original
320,,64,original
321,-9.373,64,original
322,-8.463,64,original
323,-8.253,64,original
324,-8.961,64,original
325,-9.068,64,original
326,-9.309,64,original
327,-7.231,64,original
328,-9.177,64,original
329,-7.317,64,original
330,-9.147,64,original
331,-6.991,64,original
332,-10.527,64,original
333,-8.737,64,original
334,-6.595,64,original
335,-8.218,64,original
336,-7.628,64,original
337,-8.228,64,original
338,-7.834,64,original
339,-8.136,64,original
340,,64,original
341,,64,original
342,-7.618,64,original
343,-6.783,64,original
344,-7.957,64,original
345,-10.662,64,original
346,,64,original
347,-12.185,64,original
348,-7.71,64,original
349,-6.604,64,original
350,-6.98,64,original
351,-9.979,64,original
352,-8.691,64,original
353,-7.191,64,original
354,-7.143,64,original
355,-8.401,64,original
356,-11.001,64,original
357,-10.695,64,original
358,-6.129,64,original
359,-6.703,64,original
360,-9.407,64,original
361,-8.143,64,original
362,-7.532,64,original
363,-5.817,64,original
364,-7.235,64,original
365,-7.63,64,original
366,-8.192,64,original
367,-7.36,64,original
368,-10.611,64,original
369,-10.043,64,original
370,-9.744,64,original
371,-6.687,64,original
372,-9.65,64,original
373,-7.6,64,original
374,,64,original
375,,64,original
376,,64,original
377,-7.617,64,original
378,,64,original
379,-1.484,64,original
380,-1.127,64,original
381,-4.619,64,original
382,-4.313,64,original
383,-4.441,64,original
384,-4.717,64,original
385,-5.019,64,original
386,-6.558,64,original
387,-5.239,64,original
388,-9.984,64,original
389,-8.791,64,original
390,-7.859,64,original
391,-7.983,64,original
392,-10.029,64,original
393,-8.59,64,original
394,-7.006,64,original
395,-7.925,64,original
396,-8.14,64,original
397,-9.139,64,original
398,-8.596,64,original
399,-7.476,64,original
400,-7.409,64,original
401,-7.337,64,original
402,-8.448,64,original
403,-9.451,64,original
404,-6.815,64,original
405,-1.556,64,original
406,-7.291,64,original
407,-9.474,64,original
408,-7.355,64,original
409,-6.783,64,original
410,-8.635,64,original
411,-8.007,64,original
412,-8.298,64,original
413,-10.272,64,original
414,-8.211,64,original
415,-7.571,64,original
416,,64,original
417,-7.506,64,original
418,-8.838,64,original
419,-8.592,64,original
420,-7.052,64,original
421,-9.276,64,original
422,-7.472,64,original
423,-7.705,64,original
424,-7.862,64,original
425,-7.246,64,original
426,-6.026,64,original
427,-7.345,64,original
428,-10.734,64,original
429,-10.096,64,original
430,-10.715,64,original
431,-10.111,64,original
432,-9.117,64,original
433,-8.415,64,original
434,,64,original
435,-10.551,64,original
436,-8.439,64,original
437,-7.444,64,original
438,-10.395,64,original
439,-7.197,64,original
440,-8.104,64,original
441,-8.304,64,original
442,-9.004,64,original
443,-9.576,64,original
444,-8.638,64,original
445,-9.91,64,original
446,-9.326,64,original
447,-9.876,64,original
448,-8.565,64,original
449,-8.48,64,original
450,-8.675,64,original
451,-8.001,64,original
452,-10.611,64,original
453,-6.619,64,original
454,-9.016,64,original
455,-8.778,64,original
456,-8.927,64,original
457,-6.93,64,original
458,-9.654,64,original
459,-8.74,64,original
460,-9.203,64,original
461,-2.785,64,original
462,-9.475,64,original
463,-8.677,64,original
464,-10.128,64,original
465,-8.705,64,original
466,-8.707,64,original
467,-8.608,64,original
468,-6.712,64,original
469,-8.421,64,original
470,-9.136,64,original
471,-9.052,64,original
472,-11.072,64,original
473,-8.381,64,original
474,-9.031,64,original
475,-9.89,64,original
476,0.1,64,original
477,-7.849,64,original
478,-6.651,64,original
479,-8.852,64,original
480,-0.67,64,original
481,-8.241,64,original
482,-10.537,64,original
483,-7.411,64,original
