mpo,syba,rrs,pns
0.9051772606592705,0.9204134167044524,0.14285714285714285,1.0
0.9342832656902572,0.8902299173377176,0.136986301369863,1.0
0.891889908488041,0.9997809153570584,0.06862745098039212,1.0
0.774948874103004,0.9991056421224184,0.16326530612244897,1.0
0.8860617657502436,0.9999885536809839,0.0,1.0
0.8393927460000099,0.9999988212936683,0.005102040816326522,1.0
0.9302143756334792,0.9538347513451764,0.12962962962962962,0.0
0.8890543358011965,0.9547563423714228,0.15942028985507245,0.0
0.9003236656310071,0.999324196159841,0.0945945945945946,0.0
0.9007857827668598,0.9651758894915032,0.12698412698412698,0.0
0.8975320254089871,0.9763668341265642,0.09803921568627451,0.0
0.7786494095887488,0.9935182071891507,0.140625,0.0
