partition,model,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_303,ChemBERTa,0,0,0.911199426543738,0.8557567232093122,0.946943640009547,0.885776952927282,0.7417641676495044,3822
novel_303,ChemBERTa,0,1,0.9309466019417475,0.768267572645613,0.8754556431238457,0.8313790255986788,0.6595050575245155,4066
novel_303,ChemBERTa,0,2,0.9289325105042017,0.7142621781150678,0.8650654696117943,0.8256972111553785,0.6198109230070701,3935
novel_303,ChemBERTa,0,3,0.9165303139658961,0.7984957856176462,0.9267202142356783,0.8734094616639478,0.6977626476770313,3900
novel_303,ChemBERTa,0,4,0.9262838743884014,0.7653322347959884,0.8893657358237951,0.8282487780212372,0.6983200926845415,4113
novel_303,ChemBERTa,1,0,0.9258609827176418,0.7628887858552931,0.9469516490188662,0.8893728222996515,0.6395802761831471,4063
novel_303,ChemBERTa,1,1,0.9154273026986973,0.7305571047902335,0.8698817005271575,0.8016455016991594,0.5952620998633269,3715
novel_303,ChemBERTa,1,2,0.9155689986014895,0.7725797068547184,0.8183341332783742,0.8142699521883046,0.679821076379528,3855
novel_303,ChemBERTa,1,3,0.912208650630678,0.7344688717237737,0.9376748055412355,0.8919089759797725,0.6373911733388857,3720
novel_303,ChemBERTa,1,4,0.9216362861500289,0.8213479900370853,0.90820459868492,0.8582352041596575,0.7278079430033058,4483
novel_303,ChemBERTa,2,0,0.9132558924286436,0.860729964789142,0.9525324357331977,0.8933311486154351,0.6746389599254241,3713
novel_303,ChemBERTa,2,1,0.9251643567388999,0.8159234700458847,0.9388113786035963,0.8553627058299955,0.7490325493399836,4488
novel_303,ChemBERTa,2,2,0.9283666434825301,0.7137033898431298,0.8559762637835845,0.8376478655923195,0.6059960801075885,3696
novel_303,ChemBERTa,2,3,0.9193910759085244,0.8063261683371572,0.8629927634223372,0.8155006858710563,0.6878712715855573,4173
novel_303,ChemBERTa,2,4,0.9202783645289366,0.7215644503133777,0.8976469706122044,0.8506016042780749,0.6400676540104517,3766
novel_303,ChemBERTa,3,0,0.921741411893743,0.7937199455546502,0.9470960351974215,0.8980523432744979,0.6282908587388083,3839
novel_303,ChemBERTa,3,1,0.9166272424305466,0.8223792351022448,0.940734865694336,0.8945201140323091,0.6964360096637552,3873
novel_303,ChemBERTa,3,2,0.9259011170319947,0.7375140325991418,0.9166324746130328,0.8726064250672575,0.6098117238558537,3799
novel_303,ChemBERTa,3,3,0.918496705242281,0.7556127774841438,0.8682166443199054,0.8456017359372392,0.6511467692917547,3891
novel_303,ChemBERTa,3,4,0.9083719362745097,0.7881374474420237,0.8362545416950097,0.7976291278577476,0.692528243318744,4434
novel_303,ChemBERTa,4,0,0.9247626908790756,0.7680349308673241,0.8709700636474658,0.8056510118365788,0.6687112287837509,3742
novel_303,ChemBERTa,4,1,0.9174850109312024,0.7844633106253008,0.9297174567684545,0.8521373510861948,0.6992347049949327,3697
novel_303,ChemBERTa,4,2,0.9131492982510606,0.8073779620030546,0.9241591490808647,0.90825234722451,0.7207379263664553,3673
novel_303,ChemBERTa,4,3,0.9225165970002458,0.7445689512174303,0.8657932781090785,0.8446445802508845,0.6448095545617202,4016
novel_303,ChemBERTa,4,4,0.9216015907447577,0.8233693215727318,0.9198012045476529,0.8445324656952893,0.6743587539215935,4708
