Method,Mean_AUC,Std_AUC,Delta_AUC_vs_ECFP4,Cohen_d,Effect_size,t_statistic,p_value,CI_95_lower,CI_95_upper,Power_80pct
FCFP4,0.918,0.006,0.029,11.608,large,-25.956,0.0,0.027,0.031,1.0
MACCS,0.904,0.005,0.043,14.856,large,-33.22,0.0,0.041,0.045,1.0
AP,0.94,0.005,0.008,4.54,large,-10.152,0.0005,0.006,0.009,1.0
PHCO,0.896,0.004,0.052,63.844,large,-142.759,0.0,0.051,0.052,1.0
BPF,0.939,0.005,0.009,5.389,large,-12.051,0.0003,0.007,0.01,1.0
TFP,0.876,0.006,0.072,17.248,large,-38.569,0.0,0.068,0.075,1.0
TNE,0.722,0.007,0.226,37.906,large,-84.759,0.0,0.22,0.23,1.0
