Method,Mean_AUC,Std_AUC,Delta_AUC_vs_ECFP4,Cohen_d,Effect_size,t_statistic,p_value,CI_95_lower,CI_95_upper,Power_80pct
FCFP4,0.92,0.003,0.029,12.018,large,-26.872,0.0,0.027,0.031,
MACCS,0.904,0.004,0.045,18.637,large,-41.674,0.0,0.043,0.047,
AP,0.941,0.002,0.008,6.545,large,-14.636,0.0001,0.007,0.009,1.0
PHCO,0.897,0.005,0.052,14.541,large,-32.514,0.0,0.05,0.055,1.0
BPF,0.939,0.002,0.01,8.298,large,-18.555,0.0,0.009,0.01,
TFP,0.877,0.005,0.072,17.118,large,-38.276,0.0,0.07,0.076,
TNE,0.722,0.01,0.227,24.078,large,-53.839,0.0,0.221,0.235,1.0
