rank,smiles,weighted_mpo_score,syba_score,SI,sa_score,qed,MPO_multi,MPO_4gm2,MPO_6ukj,MPO_7f3y,MPO_9n10,Hit_Tier,ClinTox,AMES,hERG,DILI
1,CCCN(C)C(=O)c1c[nH]c2ccc(C)cc2c1=O,0.5496919107279707,92.0146700759304,88.33392380411625,2.143838292636943,0.9181733182608206,0.575880143806067,0.4894225161478451,0.565782902651635,0.5901556094476509,0.4581595469771369,Secondary hit,0.0770844712853431,0.2717499345541,0.4128564059734344,0.6568864226341248
2,Cc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,0.5431158029802545,49.564708681364685,89.97416697599888,2.937562456054387,0.830560378006826,0.5748646077678622,0.4271305404829423,0.6281736922579314,0.5720874355739749,0.4720667627565998,Secondary hit,0.1023242801427841,0.2168077185750007,0.3058964908123016,0.5316726922988891
3,COc1cc(C)c([C@H](C)NC(=O)c2ccc(CC[NH3+])cc2)cc1OC,0.5372009009480052,153.50036124356888,97.76576431619804,2.836905477664564,0.8098091330623418,0.5656365674504771,0.394452230978816,0.6118464792866062,0.6082661922593662,0.4479813672771199,Secondary hit,0.0018565112375654,0.0447364743798971,0.5639173507690429,0.1700021870434284
4,C[C@@H]1C[C@H](O)CN(C(=O)c2ccc(F)cc2Cl)C1,0.5371342491838141,53.07346224934873,80.46410595724583,2.8081274301720445,0.851581015060488,0.6134848221777437,0.395786095502091,0.5960178633698655,0.5421642048332802,0.5199711250057379,Secondary hit,0.323966708779335,0.2285027995705604,0.4951429605484009,0.1705576002597809
5,COC1=CC(SC)=CC=C1C(=O)N1CCC(C)(O)CC1,0.5369236733293435,64.79695723997676,94.76707527632713,2.3359515995872417,0.8700688614314441,0.6106738357783561,0.4381008246356509,0.573465503478516,0.5278172170354918,0.5033117979637659,Secondary hit,0.1021013863384723,0.1331636629998684,0.2189158409833908,0.2151385366916656
6,[NH3+][C@H](c1ccc(O)cc1)c1ccc(Br)cc1,0.5301930571160898,55.38362274165251,100.0,3.0023438539599976,0.8713485397415909,0.5576858979670141,0.4601128947709,0.5777455676585332,0.5552845176712636,0.4376006117673594,Secondary hit,0.0002102346380524,0.0249390642624348,0.3980912566184997,0.0734613794833421
7,COc1cc(/C=C\CO)cc(OC)c1O,0.5249851361020731,36.58314450775988,99.16843011762565,2.1722456891603894,0.78854795319926,0.6073361947119658,0.4372162238249291,0.5567737939403048,0.5212926338862992,0.5140621271963298,Secondary hit,0.0082494414702523,0.2685209020972252,0.0946980059146881,0.2319133728742599
8,CC1=CC=C(F)C(CN[C@@H]2CCCC[C@@H]2O)=C1,0.5212102338219533,51.7165694635273,87.8512471326083,2.7446344729908585,0.8463703356831171,0.5463544641745306,0.4028162126959008,0.6336746976108482,0.5237936928382203,0.4251332535531531,Secondary hit,0.1362647578120231,0.4714495778083801,0.5863911867141723,0.0339257331565022
9,CC(C)(O)/C=C/c1ccc2cc[nH]c2c1,0.5209268294574705,46.66034209215803,93.11263895293474,2.627681470452268,0.7695560960439496,0.558322302386765,0.4582310224674486,0.5804178891128273,0.5417623669694515,0.4528779309973321,Secondary hit,0.0439693205058574,0.2803775504231452,0.1773666396737098,0.5698228120803833
10,C#CC1=CC=C(CNCC(O)C2=CC=CC=C2)C=C1,0.5206816198162535,100.53966116229228,91.43631192147731,2.3890177487096107,0.8002096258338817,0.5462462754834037,0.4063884729459474,0.5733898008233079,0.551336996180544,0.4538698319838155,Secondary hit,0.1275722302496433,0.2047098740935325,0.5000655949115753,0.0752946875989437
