model,fold,seed,test_auc,split
ChemBERTa,0,0,0.824715370627326,scaffold
ChemBERTa,0,1,0.7857167193751857,scaffold
ChemBERTa,0,2,0.7880891054352286,scaffold
ChemBERTa,0,3,0.7493301844941814,scaffold
ChemBERTa,0,4,0.784227690655459,scaffold
ChemBERTa,1,0,0.7503906309135303,scaffold
ChemBERTa,1,1,0.8314879698091877,scaffold
ChemBERTa,1,2,0.7395275384852653,scaffold
ChemBERTa,1,3,0.7891835284493132,scaffold
ChemBERTa,1,4,0.8213675628065582,scaffold
ChemBERTa,2,0,0.836181773523281,scaffold
ChemBERTa,2,1,0.7726884811534924,scaffold
ChemBERTa,2,2,0.7769607244036671,scaffold
ChemBERTa,2,3,0.7677518271156215,scaffold
ChemBERTa,2,4,0.7632289137877373,scaffold
ChemBERTa,3,0,0.73962505376858,scaffold
ChemBERTa,3,1,0.7667390140452229,scaffold
ChemBERTa,3,2,0.8157903442171159,scaffold
ChemBERTa,3,3,0.8117917511414396,scaffold
ChemBERTa,3,4,0.8187642209280802,scaffold
ChemBERTa,4,0,0.8203035897957773,scaffold
ChemBERTa,4,1,0.7401062357048271,scaffold
ChemBERTa,4,2,0.8317639237737593,scaffold
ChemBERTa,4,3,0.8167991845119794,scaffold
ChemBERTa,4,4,0.7240506718322417,scaffold
