features,split,seed,fold,n_train,n_test,mean_columnwise_log_loss,macro_auprc,macro_auroc,mean_brier,mean_ece,n_labels_with_test_variation
phenotype,drug_grouped,0,0,2630,658,0.02436627745077148,0.14092653419268603,0.6412101519095343,0.0037902624782446505,0.00371186814119616,148
phenotype,drug_grouped,0,1,2630,658,0.02410667041255276,0.1470168601522186,0.6503045596176698,0.0037529812143087793,0.003846807315308078,143
phenotype,drug_grouped,0,2,2630,658,0.023364396293211152,0.14862386055307414,0.6381363480010496,0.003709132746048693,0.0036110961844706036,148
phenotype,drug_grouped,0,3,2631,657,0.02430778516977579,0.14856050610581234,0.649251667775718,0.0038259214355257326,0.004079346931728431,146
phenotype,drug_grouped,0,4,2631,657,0.02234036432520401,0.15945044873322842,0.6526159751626252,0.003525463032790828,0.0036413847304047316,147
phenotype,drug_grouped,1,0,2630,658,0.023273956392553193,0.1537384050594637,0.6456968066928132,0.0036386905455339227,0.003787548435463289,144
phenotype,drug_grouped,1,1,2630,658,0.02424569361496042,0.12808285868621824,0.620512476705454,0.003752640658832476,0.0037538641620382556,149
phenotype,drug_grouped,1,2,2630,658,0.0256093262470656,0.12164507827958344,0.6409158255932449,0.004066282571226448,0.003917946897045739,155
phenotype,drug_grouped,1,3,2631,657,0.023382846454913297,0.14605944563738438,0.6412466029691165,0.0036546035930536892,0.0038268856194600296,145
phenotype,drug_grouped,1,4,2631,657,0.023497903002152272,0.13090171607476267,0.6404496937922988,0.0036783541993599153,0.003782861850376187,142
phenotype,drug_grouped,2,0,2630,658,0.02379013448477996,0.15144004485252244,0.6545021251453557,0.0037796755144562095,0.003813621515025425,151
phenotype,drug_grouped,2,1,2630,658,0.02492065065039802,0.11762625759262554,0.6589998275296068,0.003856330836891633,0.0038792200783385965,145
phenotype,drug_grouped,2,2,2630,658,0.022996667667717238,0.1416628759345765,0.6456489904574189,0.003623404273328636,0.003788092415633699,146
phenotype,drug_grouped,2,3,2631,657,0.023819597903566903,0.12687635433583325,0.6279048842895659,0.003734537848481256,0.003771791625807774,145
phenotype,drug_grouped,2,4,2631,657,0.024180808765339172,0.15353958369037285,0.652737828231262,0.003741162225576979,0.003727977830989452,157
phenotype,drug_grouped,3,0,2630,658,0.023448440640404904,0.1691912185405911,0.6305715617360863,0.0036594868242426984,0.003923235016620692,144
phenotype,drug_grouped,3,1,2630,658,0.024129684059131976,0.1515507710160358,0.6411608508380581,0.0037487756268510123,0.003785965790173032,149
phenotype,drug_grouped,3,2,2630,658,0.023036192881916155,0.1694937871539675,0.6685043686108376,0.003581219279201329,0.0036797538707997687,147
phenotype,drug_grouped,3,3,2631,657,0.02499805168741921,0.1347549441453124,0.6143898423560309,0.003967403976547351,0.003955435951913448,146
phenotype,drug_grouped,3,4,2631,657,0.02451271118794434,0.11540394279808057,0.6378863104621808,0.0039005915379667806,0.003962765988875339,152
phenotype,drug_grouped,4,0,2630,658,0.0241608316976184,0.14720700759690974,0.6377366259939015,0.0037698477506029086,0.0037316541908063374,149
phenotype,drug_grouped,4,1,2630,658,0.025004009946093125,0.1337198067723422,0.6117704762643484,0.003946005921497658,0.004068169079491045,147
phenotype,drug_grouped,4,2,2630,658,0.023237221628417664,0.1314018065656879,0.6610165199702472,0.003694150281977165,0.003701817201814553,146
phenotype,drug_grouped,4,3,2631,657,0.02230388354429714,0.12955648839514966,0.6422517337437103,0.00357701779506717,0.0036732859087118866,147
phenotype,drug_grouped,4,4,2631,657,0.02414418740505621,0.13257681547478609,0.6365019014986435,0.0037814455878256866,0.003811050196442995,147
