partition,model,metric,polypharma,single_target,delta_auc,poly_n,single_n,source,rrs_class,rrs_type,delta_ap
canonical_scaffold,GIN_native,AUC,0.144,0.812,-0.668,30,99150,reconstructed_available,POLYPHARMA_AUC,available,
canonical_scaffold,GIN-TFP_native,AUC,0.296,0.817,-0.521,30,99150,reconstructed_available,POLYPHARMA_AUC,available,
canonical_scaffold,GIN-TNE_native,AUC,0.224,0.815,-0.591,30,99150,reconstructed_available,POLYPHARMA_AUC,available,
canonical_scaffold,ChemBERTa,AUC,0.616,0.789,-0.173,30,99150,reconstructed_available,POLYPHARMA_AUC,available,
canonical_scaffold,ECFP4-RF,AUC,0.144,0.83,-0.686,30,99150,reconstructed_available,POLYPHARMA_AUC,available,
